eta,gamma_shear,E12_uncoupled,E21_uncoupled,E2_ref,E3_ref,gap_ref,E2_pinn,E3_pinn,gap_pinn,err_E2_percent,err_E3_percent,M_cond,w12_lower_ref,w21_lower_ref,w12_upper_ref,w21_upper_ref,w12_lower_pinn,w21_lower_pinn,w12_upper_pinn,w21_upper_pinn,runtime_s
0.82,0.18,68.582301611615,54.156591906988844,54.43530654935498,69.53255277199392,15.097246222638937,55.02456078760452,70.08959422500986,15.06503343740534,1.0824853860522992,0.8011232592632559,1.000351797261922,0.0679709146371959,0.9263015286916432,0.927129314677889,0.06801817788941528,0.06860928172781769,0.931390696963685,0.931390692619668,0.06860927916074933,3.4604110717773438
0.85,0.18,64.51101285002699,53.13876971659184,53.25536024760441,65.57166766379325,12.316307416188842,53.7836485866343,66.07563298205217,12.29198439541787,0.9919909218033242,0.7685717570016836,1.0001860137980896,0.0907318246818673,0.9039535203329258,0.9046064528914571,0.09079188618023173,0.0914797473346634,0.9085202286811455,0.9085202080920968,0.09147974812268282,2.710620164871216
0.8799999999999999,0.18,60.84896597696415,52.22325799832613,52.135150601113665,62.065328880648146,9.93017827953448,52.61065990543275,62.52391492490208,9.913255019469332,0.912070453113691,0.7388763622533877,1.0002827469314663,0.12655597892689394,0.8685054258726296,0.8690057324477978,0.1266294338162424,0.1274907946411178,0.8725091863982414,0.8725091776324058,0.1274907955698294,2.75498104095459
0.9099999999999999,0.18,57.543095047578234,51.396790265979654,51.03343294457279,58.98833494323617,7.954901998663381,51.46225017466006,59.405762216719886,7.943512042059822,0.8402672627432543,0.7076437636108955,1.000189532217707,0.18494329027748274,0.8104588700093696,0.8108292103394562,0.18503244790116996,0.18611873445471427,0.813881246851568,0.8138812298099238,0.18611873623088226,2.7944581508636475
0.94,0.18,54.548664614259835,50.648182657650054,49.89300007751186,56.34184404468523,6.448843967173374,50.281039795150015,56.72324823446172,6.442208439311706,0.7777438058150725,0.6769465860471204,1.0001958797399992,0.2800972123737655,0.7156112240544612,0.7158748252721338,0.2802064808956997,0.281554794446229,0.7184451831876817,0.7184451879108189,0.2815547954245357,2.761935234069824
0.97,0.18,51.827748310492524,49.96795358170822,48.64077810619625,54.15138638047704,5.510608274280791,48.99427813014954,54.500528597364074,5.506250467214535,0.7267565152463218,0.6447521295833456,1.0002645395479155,0.4219114277965949,0.5740693357109258,0.5742499200958554,0.4220473270722627,0.4236699089944297,0.5763300753519699,0.5763300710025098,0.4236699124068971,2.791221857070923
1.0,0.18,49.34802200544679,49.34802200544679,47.22000066670195,52.433187286598454,5.213186619896504,47.54202458384045,52.751422783975926,5.209398200135475,0.6819650838454622,0.6069352519769685,1.0002522730239465,0.5899417802558824,0.4062789568278713,0.4063994381232608,0.5901116288394471,0.5921700469153776,0.40782993569966197,0.4078299349473046,0.592170052254532,2.843987226486206
1.03,0.18,47.08179933403066,48.781466337592754,45.64717401475717,51.13600004160287,5.4888260268457,45.942711939932806,51.426370611834024,5.4836586719012175,0.6474396970995251,0.5678398192954405,1.000155793514267,0.7349824706222006,0.2614498775776836,0.26152980744760196,0.7351917690808273,0.7374545078986802,0.26254548026389607,0.2625454800700805,0.7374545057877592,3.104529857635498
1.06,0.18,45.005255526362966,48.26233038567584,44.004282706604975,50.14793195175904,6.143649245154066,44.27640270325928,50.413352062196886,6.136949358937606,0.6183943469062824,0.5292742893030392,1.0002315993602795,0.8322855518147014,0.16433582733628907,0.16438949731836464,0.8325359918952524,0.8349749615379969,0.16502503061451498,0.16502502925529844,0.8349749598637387,2.847421884536743
1.0899999999999999,0.18,43.09779866449937,47.785466170209936,42.371515263523186,49.362933804857065,6.9914185413338785,42.62229241216912,49.60568296410571,6.983390551936594,0.5918531520203141,0.4917640434587801,1.0001835669800423,0.8907235232197676,0.10606979092911124,0.10610645696428452,0.8910131046470303,0.8934772346425528,0.10652275529835008,0.10652275427922289,0.8934772343481316,2.8339457511901855
1.1199999999999999,0.18,41.34155721068553,47.34640580675647,40.79661038625846,48.71081353255991,7.914203146301453,41.02590711726566,48.93282677344603,7.906919656180371,0.5620484859801909,0.4557781420294273,1.0002485068394171,0.9254693374809102,0.07148276233931378,0.07150813063210547,0.9257937401643608,0.9283018260255425,0.07169815629474101,0.07169815115132804,0.9283018311698099,2.7483999729156494
1.15,0.18,39.720959867522204,46.94125647096564,39.30131730584952,48.15025079018736,8.848933484337834,39.515857407215805,48.354643916849184,8.83878650963338,0.5458852681621191,0.4244902639291777,1.000148100390288,0.9468099645899997,0.050290296506249645,0.05030790796216969,0.9471638190190622,0.949501272180853,0.05049871981799744,0.050498719739105066,0.9495012730341743,3.021646738052368
1.18,0.18,38.22238923616364,46.566613813126004,37.89292696501284,47.65683273185573,9.763905766842889,38.09197234944077,47.84487529237729,9.752902942936515,0.5252837412420392,0.3945762857963997,1.0001998749097705,0.9605017595265936,0.036737644775217855,0.03674976599488564,0.9608794266649441,0.9631186783345195,0.03688131675653956,0.0368813169397438,0.9631186764909249,2.8616440296173096
