x,y,inside_disk,PINN_1,PINN_2,PINN_3
-1.0,-1.0,False,,,
-0.9874213836477987,-1.0,False,,,
-0.9748427672955975,-1.0,False,,,
-0.9622641509433962,-1.0,False,,,
-0.949685534591195,-1.0,False,,,
-0.9371069182389937,-1.0,False,,,
-0.9245283018867925,-1.0,False,,,
-0.9119496855345912,-1.0,False,,,
-0.89937106918239,-1.0,False,,,
-0.8867924528301887,-1.0,False,,,
-0.8742138364779874,-1.0,False,,,
-0.8616352201257862,-1.0,False,,,
-0.8490566037735849,-1.0,False,,,
-0.8364779874213837,-1.0,False,,,
-0.8238993710691824,-1.0,False,,,
-0.8113207547169812,-1.0,False,,,
-0.7987421383647799,-1.0,False,,,
-0.7861635220125787,-1.0,False,,,
-0.7735849056603774,-1.0,False,,,
-0.7610062893081762,-1.0,False,,,
-0.7484276729559749,-1.0,False,,,
-0.7358490566037736,-1.0,False,,,
-0.7232704402515724,-1.0,False,,,
-0.7106918238993711,-1.0,False,,,
-0.6981132075471698,-1.0,False,,,
-0.6855345911949685,-1.0,False,,,
-0.6729559748427673,-1.0,False,,,
-0.660377358490566,-1.0,False,,,
-0.6477987421383647,-1.0,False,,,
-0.6352201257861635,-1.0,False,,,
-0.6226415094339622,-1.0,False,,,
-0.610062893081761,-1.0,False,,,
-0.5974842767295597,-1.0,False,,,
-0.5849056603773585,-1.0,False,,,
-0.5723270440251572,-1.0,False,,,
-0.559748427672956,-1.0,False,,,
-0.5471698113207547,-1.0,False,,,
-0.5345911949685535,-1.0,False,,,
-0.5220125786163522,-1.0,False,,,
-0.5094339622641509,-1.0,False,,,
-0.4968553459119497,-1.0,False,,,
-0.48427672955974843,-1.0,False,,,
-0.4716981132075472,-1.0,False,,,
-0.4591194968553459,-1.0,False,,,
-0.44654088050314467,-1.0,False,,,
-0.4339622641509434,-1.0,False,,,
-0.42138364779874216,-1.0,False,,,
-0.4088050314465409,-1.0,False,,,
-0.39622641509433953,-1.0,False,,,
-0.3836477987421383,-1.0,False,,,
-0.371069182389937,-1.0,False,,,
-0.35849056603773577,-1.0,False,,,
-0.3459119496855345,-1.0,False,,,
-0.33333333333333326,-1.0,False,,,
-0.320754716981132,-1.0,False,,,
-0.30817610062893075,-1.0,False,,,
-0.2955974842767295,-1.0,False,,,
-0.28301886792452824,-1.0,False,,,
-0.270440251572327,-1.0,False,,,
-0.25786163522012573,-1.0,False,,,
-0.24528301886792447,-1.0,False,,,
-0.23270440251572322,-1.0,False,,,
-0.22012578616352196,-1.0,False,,,
-0.2075471698113207,-1.0,False,,,
-0.19496855345911945,-1.0,False,,,
-0.1823899371069182,-1.0,False,,,
-0.16981132075471694,-1.0,False,,,
-0.1572327044025157,-1.0,False,,,
-0.14465408805031443,-1.0,False,,,
-0.13207547169811318,-1.0,False,,,
-0.11949685534591192,-1.0,False,,,
-0.10691823899371067,-1.0,False,,,
-0.09433962264150941,-1.0,False,,,
-0.08176100628930816,-1.0,False,,,
-0.0691823899371069,-1.0,False,,,
-0.05660377358490565,-1.0,False,,,
-0.04402515723270439,-1.0,False,,,
-0.03144654088050314,-1.0,False,,,
-0.018867924528301883,-1.0,False,,,
-0.0062893081761006275,-1.0,False,,,
0.0062893081761006275,-1.0,False,,,
0.018867924528301883,-1.0,False,,,
0.03144654088050314,-1.0,False,,,
0.04402515723270439,-1.0,False,,,
0.05660377358490565,-1.0,False,,,
0.0691823899371069,-1.0,False,,,
0.08176100628930816,-1.0,False,,,
0.09433962264150941,-1.0,False,,,
0.10691823899371067,-1.0,False,,,
0.11949685534591192,-1.0,False,,,
0.13207547169811318,-1.0,False,,,
0.14465408805031443,-1.0,False,,,
0.1572327044025157,-1.0,False,,,
0.16981132075471694,-1.0,False,,,
0.1823899371069182,-1.0,False,,,
0.19496855345911945,-1.0,False,,,
0.20754716981132093,-1.0,False,,,
0.22012578616352219,-1.0,False,,,
0.23270440251572344,-1.0,False,,,
0.2452830188679247,-1.0,False,,,
0.25786163522012595,-1.0,False,,,
0.2704402515723272,-1.0,False,,,
0.28301886792452846,-1.0,False,,,
0.2955974842767297,-1.0,False,,,
0.30817610062893097,-1.0,False,,,
0.3207547169811322,-1.0,False,,,
0.3333333333333335,-1.0,False,,,
0.34591194968553474,-1.0,False,,,
0.358490566037736,-1.0,False,,,
0.37106918238993725,-1.0,False,,,
0.3836477987421385,-1.0,False,,,
0.39622641509433976,-1.0,False,,,
0.408805031446541,-1.0,False,,,
0.42138364779874227,-1.0,False,,,
0.4339622641509435,-1.0,False,,,
0.4465408805031448,-1.0,False,,,
0.45911949685534603,-1.0,False,,,
0.4716981132075473,-1.0,False,,,
0.48427672955974854,-1.0,False,,,
0.4968553459119498,-1.0,False,,,
0.509433962264151,-1.0,False,,,
0.5220125786163523,-1.0,False,,,
0.5345911949685536,-1.0,False,,,
0.5471698113207548,-1.0,False,,,
0.5597484276729561,-1.0,False,,,
0.5723270440251573,-1.0,False,,,
0.5849056603773586,-1.0,False,,,
0.5974842767295598,-1.0,False,,,
0.6100628930817611,-1.0,False,,,
0.6226415094339623,-1.0,False,,,
0.6352201257861636,-1.0,False,,,
0.6477987421383649,-1.0,False,,,
0.6603773584905661,-1.0,False,,,
0.6729559748427674,-1.0,False,,,
0.6855345911949686,-1.0,False,,,
0.6981132075471699,-1.0,False,,,
0.7106918238993711,-1.0,False,,,
0.7232704402515724,-1.0,False,,,
0.7358490566037736,-1.0,False,,,
0.7484276729559749,-1.0,False,,,
0.7610062893081762,-1.0,False,,,
0.7735849056603774,-1.0,False,,,
