eta,branch,w12_ref,w21_ref,w12_pinn,w21_pinn
0.82,lower,0.05402197670154266,0.943836411417444,0.009974799023185743,0.0010936544876757014
0.82,upper,0.9436413437291403,0.05353624629016828,0.00010502795410778027,0.013716480249912035
0.85,lower,0.0793759782632889,0.9184802353792252,0.00519552990970607,5.107310963716786e-06
0.85,upper,0.918137173684991,0.07877256469313831,0.0023602267015570143,1.5005605392005419e-07
0.8799999999999999,lower,0.1184411182357686,0.8794400343163447,0.011628345311460071,0.00309714883660685
0.8799999999999999,upper,0.8789154669662025,0.11769397011020781,0.007687139842940734,0.0158541219834643
0.9099999999999999,lower,0.17796433057090985,0.819965031920409,0.0006096742113728371,0.01064423926155465
0.9099999999999999,upper,0.819229757733744,0.1770516007176161,0.04846129704886594,0.05877718758019712
0.94,lower,0.2641545574273326,0.7338265486093374,0.0006782288103513742,0.0010326998298415243
0.94,upper,0.7328715841157779,0.26307444092266186,0.0031706498042359103,0.010399923607163871
0.97,lower,0.3759911886548591,0.6220046547451825,0.001009331056972688,0.0001845726378431932
0.97,upper,0.6208620435255536,0.3747826724382094,0.002463323964535981,0.007062454459607623
1.0,lower,0.49896546102190886,0.49896546102190054,0.006622735263117934,0.015013537578166659
1.0,upper,0.49771038837400916,0.49771038837401793,0.0004324478627301957,0.032730773298912434
1.03,lower,0.6118466311713706,0.38593003140513865,0.015120865174788901,0.001575333792878062
1.03,upper,0.384647848404249,0.6106366847841803,0.027949603118417297,0.0011910238212601394
1.06,lower,0.7017205515798842,0.2958387997498074,0.007291154881242001,0.0008364080496253959
1.06,upper,0.2945890504903882,0.7006212484057228,0.003712827373185104,0.013514703041154846
1.0899999999999999,lower,0.7677404751427794,0.22957163833891073,0.017170602066546924,0.0003027466776600724
1.0899999999999999,upper,0.22838121033734085,0.7667842922403313,0.004097698321972402,0.00017486638454260002
1.1199999999999999,lower,0.8148411387560106,0.1822155218556079,0.009164537377686625,0.00021836051683603284
1.1199999999999999,upper,0.18109004573147602,0.8140388953910718,0.008188625356924772,0.00022005974871634436
1.15,lower,0.8484851261802093,0.1483180957447669,0.002953111255045064,0.025858501975505377
1.15,upper,0.1472534110535574,0.8478374381435866,0.025599265427507303,0.0003724570098427259
1.18,lower,0.8728946088622895,0.12366087598823211,0.0017312761396050278,0.013622699296713206
1.18,upper,0.12264955435884359,0.8723984052289354,0.00579708296796833,0.0010716030013967423
