eta,state,overlap_m1_cos,overlap_m1_sin,m1_weight
0.8,1,0.8974275881774256,-0.03258894185142733,0.8064383151529467
0.8,2,-0.43725810441406,-0.09130224515994624,0.19953074984702393
0.8,3,0.015327677579931465,-0.7761952208826558,0.6027139586210692
0.9,1,-0.2787789545260623,-0.0627041056549466,0.081649510352631
0.9,2,0.9561697540489766,0.027508945097401188,0.9150173406184523
0.9,3,0.030086911244471798,-0.7683971541342576,0.5913394087098588
1.0,1,0.3475049357867473,-0.09033795752484083,0.1289206269659113
1.0,2,0.004357544204221797,-0.994480232530363,0.9890099210851365
1.0,3,-0.825479317369278,-0.03370591261769709,0.6825521919498411
1.1,1,0.11099607810647197,0.08928713441465905,0.020292321726999418
1.1,2,-0.08581827720054966,0.9124093269212902,0.8398555565546322
1.1,3,0.7831140548316442,0.03781926824325458,0.6146979199253148
1.2,1,0.08660231580991773,-0.40510626086075546,0.1716110436922232
1.2,2,0.14244280768059334,0.9051024255035995,0.8395003541124294
1.2,3,0.559185262510749,-0.09465715897335478,0.3216481355541222
