eta,sector,energy_PINN,residual_mse,norm,best_restart
0.8,even,59.39837938452978,842331.1822072726,15.77990794868542,1
0.8,x,244.12737895805876,3606569.953078606,1.0949459026855326,2
0.8,y,675.0396373951857,13999076.602429584,0.16628695754871442,2
0.9,even,62.07150601354211,312734.4506868318,5.983426514191555,1
0.9,x,146.05782159060632,1913222.7095122945,0.8469007243636668,1
0.9,y,250.46173577405327,2579606.6272806656,0.46918341443460726,2
1.0,even,25.675643913238556,84088.57993496703,13.703161242253168,2
1.0,x,1931.2360406066516,93155134.01000659,0.5417387696843345,1
1.0,y,253.26447432947768,2540403.085504331,0.6081974756871473,2
1.1,even,28.310125542038982,163002.05669657458,12.709423252601912,1
1.1,x,1368.7658762265823,28841331.70445008,0.30561656952398153,2
1.1,y,1115.255875926681,8992493.041922057,0.19105647671249054,2
1.2,even,14.979505976148111,134863.38391947089,7.035637571051458,2
1.2,x,215.84765966635615,1694362.3968796658,2.1626982694465235,2
1.2,y,500.2547506308543,7241875.189513543,0.4455206658412194,1
