eta,sector,energy_PINN,residual_mse,norm,best_restart
0.8,even,7.426721306296752,66.18136221326642,7.876881381599945,3
0.8,x,16.73788731903609,39.3170731370346,1.6996532702674196,2
0.8,y,20.89351469221477,101.989831881012,1.2821022413234007,1
0.9,even,6.47798425318902,45.93845548405348,10.252663094844886,2
0.9,x,15.572955874320323,51.29439137200968,0.8392981983380798,3
0.9,y,17.314494771365663,78.37589630152367,1.4046906480304007,1
1.0,even,5.797328843051812,35.73358513183745,6.68363618029648,3
1.0,x,14.742614289967872,66.07768644650396,1.3693686631735837,1
1.0,y,14.742017564195882,52.71575339329228,1.3583363865918652,3
1.1,even,5.298433195389196,33.88802166825035,10.181862710058798,3
1.1,x,14.093525703253336,46.14287284844931,1.0815424366930855,1
1.1,y,12.799792747767512,36.24540770030818,0.9424610740569961,2
1.2,even,4.9105041041306725,27.931563090448215,8.466202188323903,2
1.2,x,13.615068272377714,54.935266736813176,1.0868573503844647,2
1.2,y,11.345582387875611,30.469331470388155,1.3238579420641785,1
