state_index,exact_label_ranked,nx_ref,ny_ref,epsilon_exact_ranked,epsilon_pinn_validation,relative_error_percent_vs_ranked,degenerate_weight_12_21
1,psi_11,1,1,19.739208802178716,19.748995,0.04957658227269826,1.4481040623430618e-09
2,psi_12,1,2,49.34802200544679,49.360893,0.0260825936721528,0.9999944502006146
3,psi_21,2,1,49.34802200544679,49.36296,0.030272358193495802,0.9999934444478242
4,psi_22,2,2,78.95683520871486,78.96396,0.009022058065879522,2.1385371816238375e-08
