x,psi_pinn_n1,psi_exact_n1,psi_pinn_n2,psi_exact_n2,psi_pinn_n3,psi_exact_n3,psi_pinn_n4,psi_exact_n4,psi_pinn_n5,psi_exact_n5
0.000000000000,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
0.001430615165,6.312477246789e-03,6.356034307115e-03,1.264708011738e-02,1.271194022432e-02,1.894056725522e-02,1.906758936430e-02,2.532138712058e-02,2.542285334492e-02,3.155162964078e-02,3.177760379183e-02
0.002861230329,1.265509280815e-02,1.271194022432e-02,2.533040475728e-02,2.542285334492e-02,3.796848551676e-02,3.813171234106e-02,5.070047970716e-02,5.083749035798e-02,6.322429781419e-02,6.353916078986e-02
0.004291845494,1.901499234669e-02,1.906758936430e-02,3.803736742243e-02,3.813171234106e-02,5.704409805229e-02,5.718890317292e-02,7.610768056913e-02,7.623569736275e-02,9.494953460825e-02,9.526863230346e-02
0.005722460658,2.538264305324e-02,2.542285334492e-02,5.075746562175e-02,5.083749035798e-02,7.613642713980e-02,7.623569736275e-02,1.015172442955e-01,1.016092659927e-01,1.266717060473e-01,1.269499958443e-01
0.007153075823,3.175155353915e-02,3.177760379183e-02,6.348218863045e-02,6.353916078986e-02,9.522247119886e-02,9.526863230346e-02,1.269071144609e-01,1.269499958443e-01,1.583469345589e-01,1.585672532171e-01
0.008583690987,3.811783783751e-02,3.813171234106e-02,7.620485487617e-02,7.623569736275e-02,1.142861915673e-01,1.142842479075e-01,1.522586602851e-01,1.522496971267e-01,1.899415342899e-01,1.901044385986e-01
0.010014306152,4.447967760208e-02,4.448505064159e-02,8.892041157925e-02,8.892607421752e-02,1.333172984344e-01,1.332790872359e-01,1.775563347352e-01,1.775001933094e-01,2.214301391209e-01,2.215456265994e-01
0.011444921316,5.083674306929e-02,5.083749035798e-02,1.016252097814e-01,1.016092659927e-01,1.523099471568e-01,1.522496971267e-01,2.027872774156e-01,2.026933237639e-01,2.527937027414e-01,2.528749403063e-01
0.012875536481,5.718963216817e-02,5.718890317292e-02,1.143167675969e-01,1.142842479075e-01,1.712614482696e-01,1.711926288228e-01,2.279408855024e-01,2.278209464020e-01,2.840175354745e-01,2.840765592993e-01
