eta,a,b,E_even_PINN,E_x_PINN,E_y_PINN,E_lower_m1_PINN,E_upper_m1_PINN,Delta_m1_PINN,E1_FD,E2_FD,E3_FD,Delta_m1_FD,branch_lower,branch_upper,res_even,res_x,res_y
0.8,1.0,0.8,7.426721306296752,16.73788731903609,20.89351469221477,16.73788731903609,20.89351469221477,4.155627373178678,7.312204995353104,16.512140678784984,20.58193723024542,4.069796551460435,x,y,66.18136221326642,39.3170731370346,101.989831881012
0.9,1.0,0.9,6.47798425318902,15.572955874320323,17.314494771365663,15.572955874320323,17.314494771365663,1.7415388970453396,6.384159461538087,15.349390473224357,17.053649168321485,1.7042586950971277,x,y,45.93845548405348,51.29439137200968,78.37589630152367
1.0,1.0,1.0,5.797328843051812,14.742614289967872,14.742017564195882,14.742017564195882,14.742614289967872,0.0005967257719898811,5.717858858393053,14.512857825780033,14.512857825785458,5.424993787528365e-12,y,x,35.73358513183745,66.07768644650396,52.71575339329228
1.1,1.0,1.1,5.298433195389196,14.093525703253336,12.799792747767512,12.799792747767512,14.093525703253336,1.2937329554858241,5.220291793443927,12.619688238710678,13.876875775220014,1.2571875365093366,y,x,33.88802166825035,46.14287284844931,36.24540770030818
1.2,1.0,1.2,4.9105041041306725,13.615068272377714,11.345582387875611,11.345582387875611,13.615068272377714,2.269485884502103,4.839580611690569,11.17185921023334,13.384233958728329,2.212374748494989,y,x,27.931563090448215,54.935266736813176,30.469331470388155
