n,epsilon_exact,epsilon_pinn,relative_error,norm_integral,residual_mse,max_abs_overlap_with_lower_states,expected_internal_nodes,pinn_internal_nodes
1,9.869604401089,9.869446666501,1.598185520006e-05,1.000000000000,3.054430528396e-01,0.000000000000e+00,0,0
2,39.478417604357,39.477953826548,1.174762914762e-05,1.000000000000,1.063312051751e+00,1.941777287556e-15,1,1
3,88.826439609804,88.825223811432,1.368734779497e-05,1.000000000000,2.486056818363e+00,5.691773806657e-14,2,2
4,157.913670417430,157.911967196639,1.078577165532e-05,1.000000000000,3.308984747540e+00,4.757921291707e-14,3,3
5,246.740110027234,246.736458883511,1.479752814526e-05,1.000000000000,6.677856203365e+00,9.984150098153e-14,4,4
