seed_id,seed,epsilon_doublet_1,epsilon_doublet_2,mean_doublet_subspace_weight,min_doublet_subspace_weight,singular_value_1,singular_value_2,max_principal_angle_deg,basis_angle_mode1_rad_mod_pi,basis_angle_mode1_deg_mod_180
0,1000,49.398342,49.414215,0.9999359404660435,0.9999272830013197,0.99997911608508,0.9999568232307776,0.5324321406042132,2.605142059873521,149.26364506277037
1,1001,49.372993,49.42394,0.999946286324313,0.9999083710651209,0.9999922166592444,0.9999540685799309,0.5491540981711176,1.6887066186493593,96.75576208441649
2,1002,49.372993,49.42394,0.999946286324313,0.9999083710651209,0.9999922166592444,0.9999540685799309,0.5491540981711176,1.6887066186493593,96.75576208441649
3,1003,49.372993,49.42394,0.999946286324313,0.9999083710651209,0.9999922166592444,0.9999540685799309,0.5491540981711176,1.6887066186493593,96.75576208441649
4,1004,49.379547,49.422585,0.9999694405568595,0.9999653754815485,0.9999868279233235,0.9999826123956199,0.3378766150110615,2.068281766047194,118.50381603836854
5,1005,49.379547,49.422585,0.9999694405568595,0.9999653754815485,0.9999868279233235,0.9999826123956199,0.3378766150110615,2.068281766047194,118.50381603836854
6,1006,49.374897,49.38962,0.9999639978617988,0.9999488011757605,0.9999901448101988,0.999973852661196,0.41433567051607784,1.7416112344128245,99.78697328442432
7,1007,49.374897,49.38962,0.9999639978617988,0.9999488011757605,0.9999901448101988,0.999973852661196,0.41433567051607784,1.7416112344128245,99.78697328442432
8,1008,49.374897,49.38962,0.9999639978617988,0.9999488011757605,0.9999901448101988,0.999973852661196,0.41433567051607784,1.7416112344128245,99.78697328442432
9,1009,49.380363,49.38583,0.9999682177772918,0.9999645431210924,0.9999862969613874,0.9999819205585848,0.3445329706226731,0.1703291464178358,9.759141217807835
10,1010,49.380363,49.38583,0.9999682177772918,0.9999645431210924,0.9999862969613874,0.9999819205585848,0.3445329706226731,0.1703291464178358,9.759141217807835
11,1011,49.380363,49.38583,0.9999682177772918,0.9999645431210924,0.9999862969613874,0.9999819205585848,0.3445329706226731,0.1703291464178358,9.759141217807835
12,1012,49.394386,49.413975,0.9999397714462979,0.9999290409845272,0.9999752791101675,0.999964491400139,0.4828427217438819,1.6163640080555481,92.6108358184327
13,1013,49.370365,49.42283,0.9999468253937601,0.9999002734133526,0.9999967004956439,0.9999501236488475,0.5722512793800238,3.0492361377645403,174.70836143267982
14,1014,49.370365,49.42283,0.9999468253937601,0.9999002734133526,0.9999967004956439,0.9999501236488475,0.5722512793800238,3.0492361377645403,174.70836143267982
15,1015,49.370365,49.42283,0.9999468253937601,0.9999002734133526,0.9999967004956439,0.9999501236488475,0.5722512793800238,3.0492361377645403,174.70836143267982
16,1016,49.39666,49.404125,0.9999436441349445,0.9999343111706622,0.9999785339884263,0.9999651093074432,0.4786231359801201,2.1700113569183195,124.33249224687663
17,1017,49.40096,49.43331,0.999926001464482,0.9998968743035594,0.999977809420978,0.9999481904551787,0.5832360952219611,1.5985170833149613,91.58828235350947
18,1018,49.387367,49.418896,0.9999172500028332,0.9998832779703231,0.9999788393654276,0.9999384085167639,0.6359166421294192,2.9857537551452844,171.0710888351618
19,1019,49.389877,49.407124,0.9999539730264623,0.9999455999409266,0.9999814914744248,0.9999724810021071,0.4250645959710874,0.09162315548471334,5.249620114944995
20,1020,49.41754,49.35356,0.9997948778271839,0.9996707820706525,0.9999595067884658,0.999835356665154,1.0397182475812832,1.59761380111775,91.53652809589997
21,1021,49.41754,49.35356,0.9997948778271839,0.9996707820706525,0.9999595067884658,0.999835356665154,1.0397182475812832,1.59761380111775,91.53652809589997
22,1022,49.41754,49.35356,0.9997948778271839,0.9996707820706525,0.9999595067884658,0.999835356665154,1.0397182475812832,1.59761380111775,91.53652809589997
23,1023,49.412815,49.4267,0.9999103379556935,0.9999044917218107,0.999958095582267,0.9999522403549446,0.5599766318031628,2.1861498010707012,125.25715698471568
24,1024,49.412815,49.4267,0.9999103379556935,0.9999044917218107,0.999958095582267,0.9999522403549446,0.5599766318031628,2.1861498010707012,125.25715698471568
25,1025,49.381287,49.42959,0.9999259598760745,0.9999015696041005,0.9999752430799179,0.999950715275212,0.5688471437758664,3.055871290624538,175.08852768798184
26,1026,49.381287,49.42959,0.9999259598760745,0.9999015696041005,0.9999752430799179,0.999950715275212,0.5688471437758664,3.055871290624538,175.08852768798184
27,1027,49.37177,49.431202,0.9999358021709632,0.9998680874301513,1.0,0.9999340414336046,0.6580753467014913,3.0782065572873214,176.36824420205858
28,1028,49.37943,49.368546,1.0000416763339288,1.0000005636025335,1.0,0.999999650642585,0.047893064365400834,0.5771179178579652,33.06642097463913
29,1029,49.37943,49.368546,1.0000416763339288,1.0000005636025335,1.0,0.999999650642585,0.047893064365400834,0.5771179178579652,33.06642097463913
30,1030,49.37943,49.368546,1.0000416763339288,1.0000005636025335,1.0,0.999999650642585,0.047893064365400834,0.5771179178579652,33.06642097463913
31,1031,49.38122,49.40049,0.9999529457989933,0.9999426585057236,0.9999821554804585,0.9999707897327014,0.43793177051661875,1.8465827221156892,105.8013964990079
32,1032,49.389225,49.40764,0.9999443319714918,0.9999245137668211,0.9999837379405053,0.999960593122308,0.5086570514137,2.9470732347837876,168.8548582690782
33,1033,49.374893,49.391804,0.999967573497174,0.99995210471159,0.9999926657194351,0.9999749074360245,0.4058925297543779,3.0317846167445324,173.70846293214953
34,1034,49.374893,49.391804,0.999967573497174,0.99995210471159,0.9999926657194351,0.9999749074360245,0.4058925297543779,3.0317846167445324,173.70846293214953
35,1035,49.374893,49.391804,0.999967573497174,0.99995210471159,0.9999926657194351,0.9999749074360245,0.4058925297543779,3.0317846167445324,173.70846293214953
36,1036,49.379715,49.370117,0.9999879581565398,0.9999819524768583,0.9999977413528253,0.999990216753308,0.25344252497005787,1.213391537462945,69.52221399351686
37,1037,49.379715,49.370117,0.9999879581565398,0.9999819524768583,0.9999977413528253,0.999990216753308,0.25344252497005787,1.213391537462945,69.52221399351686
38,1038,49.379715,49.370117,0.9999879581565398,0.9999819524768583,0.9999977413528253,0.999990216753308,0.25344252497005787,1.213391537462945,69.52221399351686
39,1039,49.365936,49.41091,0.999965613468145,0.9999329545090704,0.999999160916118,0.9999664519889405,0.46932342691295376,3.139422461426411,179.87565714830583
40,1040,49.365936,49.41091,0.999965613468145,0.9999329545090704,0.999999160916118,0.9999664519889405,0.46932342691295376,3.139422461426411,179.87565714830583
41,1041,49.374664,49.399662,0.9999476088629133,0.9999212469474146,0.9999886009924258,0.9999590069653042,0.5187930493679879,3.118646289577044,178.6852701868986
42,1042,49.374664,49.399662,0.9999476088629133,0.9999212469474146,0.9999886009924258,0.9999590069653042,0.5187930493679879,3.118646289577044,178.6852701868986
43,1043,49.374664,49.399662,0.9999476088629133,0.9999212469474146,0.9999886009924258,0.9999590069653042,0.5187930493679879,3.118646289577044,178.6852701868986
44,1044,49.400555,49.430603,0.9999091802454068,0.9998634991611226,0.9999779815339424,0.9999311961020698,0.6721197262386559,1.8584194459440753,106.47959081763635
45,1045,49.38,49.420185,0.9999453414420203,0.9999088667551694,0.9999909138052072,0.9999544265570643,0.5470099162528308,3.0939517701940993,177.27037844915185
46,1046,49.38,49.420185,0.9999453414420203,0.9999088667551694,0.9999909138052072,0.9999544265570643,0.5470099162528308,3.0939517701940993,177.27037844915185
47,1047,49.38,49.420185,0.9999453414420203,0.9999088667551694,0.9999909138052072,0.9999544265570643,0.5470099162528308,3.0939517701940993,177.27037844915185
48,1048,49.37564,49.386143,0.9999647233877629,0.9999529918718908,0.9999896654066702,0.9999750576166294,0.40467605538321116,1.797333422066792,102.97961946223265
49,1049,49.37564,49.386143,0.9999647233877629,0.9999529918718908,0.9999896654066702,0.9999750576166294,0.40467605538321116,1.797333422066792,102.97961946223265
