mode_index,epsilon,c12,c21,w12,w21,w_subspace,seed_id,seed,training_seed,selected_doublet_rank
1,19.868729,0.0024006192106753588,-0.0005340688512660563,5.762972594663583e-06,2.8522953789264497e-07,6.0482021325562276e-06,0,1000,1000000,0
2,49.808487,-0.008853187784552574,0.9995715618133545,7.837893394855092e-05,0.9991433071859888,0.9992216861199373,0,1000,1000000,1
3,50.02156,0.9990072250366211,0.00881977565586567,0.9980154356753701,7.77884426198007e-05,0.99809322411799,0,1000,1000000,2
1,19.82419,0.0018081306479871273,0.003184584667906165,3.269336440190349e-06,1.014157950706302e-05,1.3410915947253369e-05,1,1001,1001000,0
2,50.098816,0.8156789541244507,-0.5766881704330444,0.6653321562015577,0.3325692459174121,0.9979014021189698,1,1001,1001000,1
3,50.415596,0.5765372514724731,0.8152738809585571,0.33239520233543374,0.6646715009732276,0.9970667033086613,1,1001,1001000,2
1,19.849434,0.0035388022661209106,0.003422607434913516,1.2523121478702492e-05,1.1714241653525278e-05,2.423736313222777e-05,2,1002,1002000,0
2,49.817516,-0.7804513573646545,0.6242272257804871,0.6091043212123317,0.38965962940560317,0.9987639506179349,2,1002,1002000,1
3,50.13894,-0.6239941120147705,-0.7802112102508545,0.38936865182910196,0.6087295326011031,0.998098184430205,2,1002,1002000,2
1,19.800943,-0.0018094039987772703,-0.002544212155044079,3.273942830791176e-06,6.473015489874036e-06,9.746958320665212e-06,3,1003,1003000,0
2,50.011436,-0.7601538896560669,0.648810625076294,0.5778339359592479,0.42095522721189127,0.9987891631711392,3,1003,1003000,1
3,50.375328,0.6484910845756531,0.7592788934707642,0.42054068677410683,0.576504438070188,0.9970451248442949,3,1003,1003000,2
1,19.8693,0.0004236116074025631,-0.0010988230351358652,1.7944679392618325e-07,1.2074120625451949e-06,1.3868588564713781e-06,4,1004,1004000,0
2,49.647594,0.9993373155593872,0.03049159049987793,0.9986750702694422,0.000929737091212246,0.9996048073606545,4,1004,1004000,1
3,50.123737,0.030459020286798477,-0.9984409213066101,0.0009277519168316012,0.9968842733395924,0.997812025256424,4,1004,1004000,2
1,19.944498,-0.003361606504768133,0.0014691281830891967,1.1300398292899425e-05,2.158337618346964e-06,1.3458735911246389e-05,5,1005,1005000,0
2,49.900536,-0.10803814232349396,0.9935953617095947,0.011672240196711536,0.9872317428108204,0.9989039830075319,5,1005,1005000,1
3,50.35775,-0.9927178621292114,-0.10812428593635559,0.985488753790392,0.011690861209246783,0.9971796149996388,5,1005,1005000,2
1,19.823904,-0.0015661361394450068,-0.0021518513094633818,2.45278240727571e-06,4.630464058039271e-06,7.083246465314981e-06,6,1006,1006000,0
2,49.95758,0.6350122690200806,-0.7715334892272949,0.4032405818060312,0.5952639249992444,0.9985045068052756,6,1006,1006000,1
3,50.263565,0.7711474299430847,0.6346180438995361,0.5946683587078248,0.40274006164287357,0.9974084203506983,6,1006,1006000,2
