eta,a,b,E_even_PINN,E_x_PINN,E_y_PINN,E_lower_m1_PINN,E_upper_m1_PINN,Delta_m1_PINN,E1_FD,E2_FD,E3_FD,Delta_m1_FD,branch_lower,branch_upper,res_even,res_x,res_y
0.8,1.0,0.8,59.39837938452978,244.12737895805876,675.0396373951857,244.12737895805876,675.0396373951857,430.91225843712687,7.312204995353104,16.512140678784984,20.58193723024542,4.069796551460435,x,y,842331.1822072726,3606569.953078606,13999076.602429584
0.9,1.0,0.9,62.07150601354211,146.05782159060632,250.46173577405327,146.05782159060632,250.46173577405327,104.40391418344694,6.384159461538087,15.349390473224357,17.053649168321485,1.7042586950971277,x,y,312734.4506868318,1913222.7095122945,2579606.6272806656
1.0,1.0,1.0,25.675643913238556,1931.2360406066516,253.26447432947768,253.26447432947768,1931.2360406066516,1677.971566277174,5.717858858393053,14.512857825780033,14.512857825785458,5.424993787528365e-12,y,x,84088.57993496703,93155134.01000659,2540403.085504331
1.1,1.0,1.1,28.310125542038982,1368.7658762265823,1115.255875926681,1115.255875926681,1368.7658762265823,253.51000029990132,5.220291793443927,12.619688238710678,13.876875775220014,1.2571875365093366,y,x,163002.05669657458,28841331.70445008,8992493.041922057
1.2,1.0,1.2,14.979505976148111,215.84765966635615,500.2547506308543,215.84765966635615,500.2547506308543,284.40709096449814,4.839580611690569,11.17185921023334,13.384233958728329,2.212374748494989,x,y,134863.38391947089,1694362.3968796658,7241875.189513543
