,PINN_1,PINN_2,PINN_3
"$\psi_{0,1}$",0.9999999706554912,2.921615440856341e-08,1.962355486260248e-07
"$\psi_{1,1}^c$",-1.9809287370113596e-07,0.07474313958177213,0.9972027837981532
"$\psi_{1,1}^s$",-1.6705309701585577e-08,0.997202780482181,-0.07474314441559238
