case,method,seed,success,epsilon_parameter,epsilon_rayleigh_posthoc,epsilon_exact,rel_error_parameter_percent,rel_error_rayleigh_percent,nodes,nodes_expected,norm_integral,residual_integral,runtime_s
1D n=5,Residual PINN (pointwise),0,True,246.846139504693,246.7550736885617,246.74011002723395,0.04297212862852222,0.0060645435094048745,4,4,0.5507876443551836,3.882341928127435,6.406819105148315
1D n=5,Residual PINN (pointwise),1,True,246.20330967980664,246.74043442352848,246.74011002723395,0.21755698632381548,0.00013147286612408108,4,4,0.47955978097649243,3.104712632983057,6.337008237838745
1D n=5,Residual PINN (pointwise),2,True,246.4617756202777,246.75193167565124,246.74011002723395,0.1128046862447805,0.004791133640970304,4,4,0.4433889899303702,2.8266322521085243,6.224339008331299
1D n=5,Residual PINN (pointwise),3,True,246.8732443288656,246.75362162553384,246.74011002723395,0.053957300098861884,0.0054760445305767754,4,4,0.5237702785252255,3.290009288278223,6.230415105819702
1D n=5,Residual PINN (pointwise),4,True,256.4702241523959,246.73195676970593,246.74011002723395,3.943466720545742,0.0033043908131199988,4,4,0.0030608088434527854,0.40710993205417,6.2847740650177
1D n=5,Residual PINN (pointwise),5,True,241.75267796483556,246.75149090887055,246.74011002723395,2.021330079591806,0.0046124975932536,4,4,0.4516750564575663,13.63240777830125,6.222715139389038
1D n=5,Residual PINN (pointwise),6,True,254.65210266031698,246.7500345578344,246.74011002723395,3.2066098342137175,0.004022260750126108,4,4,0.03400995104853486,2.4072603425785535,6.322764873504639
1D n=5,Residual PINN (pointwise),7,True,236.34180283052623,247.46572634454026,246.74011002723395,4.214275172188262,0.29408121655867564,4,4,1.1167041431882976e-05,0.11575857777874282,6.673517942428589
1D n=5,Residual PINN (pointwise),8,True,253.83211869076052,246.7517223510356,246.74011002723395,2.8742828487609047,0.0047062975696821555,4,4,0.18330469578870057,10.309100871794687,6.333494186401367
1D n=5,Residual PINN (pointwise),9,True,236.68529318561934,246.7384977103035,246.74011002723395,4.0750637747972185,0.0006534474391982207,4,4,0.023101277744825562,2.652669849348726,7.125056028366089
1D n=5,Residual PINN (pointwise),10,True,251.64686483767983,246.73867253297155,246.74011002723395,1.9886328209484432,0.000582594480583561,4,4,0.29670726086850985,10.714345149322725,6.749608993530273
1D n=5,Residual PINN (pointwise),11,True,240.77395790049823,246.74977891615234,246.74011002723395,2.4179903810844565,0.003918653078867719,4,4,0.4310962743795883,20.085910093209478,6.325997829437256
1D n=5,Residual PINN (pointwise),12,True,240.14690911612666,246.75080789122165,246.74011002723395,2.6721236812205214,0.004335680966714557,4,4,0.17981460544903338,8.828120714528348,6.413381099700928
1D n=5,Residual PINN (pointwise),13,True,251.76754776945998,246.726037383342,246.74011002723395,2.037543770922013,0.005703427744437982,4,4,0.4595996731556477,14.413509796256879,6.479493856430054
1D n=5,Residual PINN (pointwise),14,True,246.73778227659096,246.7521736782316,246.74011002723395,0.0009434018014880908,0.004889213592518406,4,4,0.527549928450024,9.60660602585762,6.318185806274414
1D n=5,Residual PINN (pointwise),15,True,253.39163719417965,246.7577369354788,246.74011002723395,2.695762422336415,0.007143916829286545,4,4,0.2888042162781744,14.633270442768913,5.989512920379639
1D n=5,Residual PINN (pointwise),16,True,241.76847084911216,246.74532644456326,246.74011002723395,2.014929464679677,0.0021141343127115105,4,4,0.20926010102857384,7.516310580494543,5.789806842803955
1D n=5,Residual PINN (pointwise),17,True,243.50476710351765,246.76044386761583,246.74011002723395,1.31123509807919,0.008240995101945977,4,4,0.24709083457875963,4.798917144201971,5.6916399002075195
1D n=5,Residual PINN (pointwise),18,True,249.07368511480675,246.75365803058617,246.74011002723395,0.9457623599645912,0.005490798942546262,4,4,0.21500453586274038,4.097986450276933,5.624792814254761
1D n=5,Residual PINN (pointwise),19,True,238.76217400510006,246.75154012418267,246.74011002723395,3.233335683141798,0.004632443807961772,4,4,0.2623858264198362,18.67899103945929,5.609827041625977
