case,method,script,seed,seed_argument_available,returncode,runtime_s,log_path,note,success,rel_error_percent,max_rel_error_percent,subspace_weight,parity_score,nodes,nodes_expected,failure_mode,parsed_rows
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,6,True,0,264.13499212265015,data/ablation_native_logs/ellipse_split__generic_subspace__seed6.log,native generic ellipse script,False,529.6797761145341,1785.9132618273113,,0.0,,,branch drift/generic subspace instability,5
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,6,True,0,408.0846321582794,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed6.log,native symmetry-sector ellipse script,True,1.6518997659187509,1.791949902480029,,1.0,,,stable branch tracking,5
1D n=5,baseline state-by-state,train_pinn_1d.py,7,True,0,5.164132118225098,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed7.log,native baseline 1D script,False,95.9689,95.9689,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,7,True,0,36.4489688873291,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed7.log,native projected 1D script,True,0.0235,0.0242,,,4.0,4.0,stable,5
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,7,True,0,40.383811950683594,data/ablation_native_logs/square_doublet__subspace_Ritz__seed7.log,native square subspace script,True,0.0414,0.0484,0.99995,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,7,True,0,85.12947988510132,data/ablation_native_logs/disk_m1__subspace_Ritz__seed7.log,native disk subspace script,True,0.0005,0.0005,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,7,True,0,188.90480184555054,data/ablation_native_logs/ellipse_split__generic_subspace__seed7.log,native generic ellipse script,False,312.8145193170666,1075.9315899178973,,0.0,,,branch drift/generic subspace instability,5
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,7,True,0,411.9412491321564,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed7.log,native symmetry-sector ellipse script,True,1.6844707694369263,1.8476236727459212,,1.0,,,stable branch tracking,5
1D n=5,baseline state-by-state,train_pinn_1d.py,8,True,0,5.256763935089111,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed8.log,native baseline 1D script,False,83.7017,119.3241,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,8,True,0,38.214762926101685,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed8.log,native projected 1D script,True,0.0243,0.0271,,,4.0,4.0,stable,5
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,8,True,0,45.182016134262085,data/ablation_native_logs/square_doublet__subspace_Ritz__seed8.log,native square subspace script,True,0.0342,0.0394,1.0,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,8,True,0,96.87233686447144,data/ablation_native_logs/disk_m1__subspace_Ritz__seed8.log,native disk subspace script,True,0.0004,0.0004,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,8,True,0,227.41416120529175,data/ablation_native_logs/ellipse_split__generic_subspace__seed8.log,native generic ellipse script,False,331.4416219123767,1643.7672897356554,,0.0,,,branch drift/generic subspace instability,5
