case,method,n_seeds,success_rate_percent,mean_rel_error_percent,std_rel_error_percent,max_rel_error_percent,mean_subspace_weight,mean_parity_score,mean_runtime_s,typical_failure_mode
1D n=5,penalty,20,0.0,95.99928168730293,0.0015396066821458613,96.00038599966551,,,0.9480538129806518,wrong nodes/lower-state collapse
1D n=5,projection,20,0.0,0.6527044916433015,0.060409044684904344,0.8094685531483057,,,1.6357377767562866,energy error
1D n=5,residual,20,5.0,72.44757553567683,28.028057893094108,101.29303684317095,,,1.4413350343704223,wrong nodes/lower-state collapse
disk m=1,state_by_state,20,0.0,7.321566806811016,1.7948681488438094,9.273680090681298,0.9881997829937363,,3.8933162093162537,energy error
disk m=1,subspace_ritz,20,0.0,38.5969474070008,7.1989373562690675,59.245596224499,0.039571970538522634,,8.80574586391449,low subspace weight
ellipse split,generic_subspace,20,0.0,33.34659621100964,3.9173320783696526,98.33633805844246,,0.0,24.559407544136047,branch drift/missing parity sector
ellipse split,symmetry_sectors,20,0.0,21.666769641913916,6.6497847925170435,71.41974274391298,,0.64,39.15268882513046,branch drift/missing parity sector
