pinn_state,psi_11,psi_12,psi_21,psi_22
1,0.853790106005,-0.108543959221,-0.00507187462761,-6.62593834149e-05
2,-0.515528216005,-0.211895849005,0.0340205636383,0.000692971149977
3,0.0195555413953,0.0299482292133,0.948853849088,0.000229134825576
4,0.0138616145886,-0.967279350522,0.0208774353505,-0.0484957200891
