eta,a,c,E_1,E_2,E_3,E_z,E_xy_1,E_xy_2,E_xy_mean,Delta_z_minus_xy,z_character_selected,xy_doublet_splitting,alpha_l1_squared_exact_sphere
0.8,1.077217345015942,0.8617738760127536,19.357324678447377,19.357324678447387,23.272289220155916,23.272289220155916,19.357324678447377,19.357324678447387,19.357324678447384,3.9149645417085317,1.0,1.0658141036401503e-14,20.19072855642663
0.8500000000000001,1.0556671919780007,0.8973171131813007,19.509210119412902,19.509210119412902,22.29265783567883,22.29265783567883,19.509210119412902,19.509210119412902,19.509210119412902,2.783447716265929,1.0,0.0,20.19072855642663
0.9,1.0357441686512863,0.9321697517861577,19.70415566660289,19.704155666602894,21.47009414615701,21.47009414615701,19.70415566660289,19.704155666602894,19.704155666602894,1.7659384795541158,1.0,3.552713678800501e-15,20.19072855642663
0.95,1.017244768191101,0.9663825297815459,19.93355555449713,19.93355555449714,20.7767319825074,20.7767319825074,19.93355555449713,19.93355555449714,19.933555554497133,0.8431764280102669,1.0,1.0658141036401503e-14,20.19072855642663
1.0,1.0,1.0,20.190728556426606,20.190728556426606,20.190728556426695,20.190728556426695,20.190728556426606,20.190728556426606,20.190728556426606,8.881784197001252e-14,0.9999998729453984,0.0,20.19072855642663
1.05,0.9838681468061969,1.033061554146507,19.69474313301439,20.470424658906317,20.470424658906342,19.69474313301439,20.470424658906317,20.470424658906342,20.47042465890633,-0.7756815258919403,1.0,2.4868995751603507e-14,20.19072855642663
1.1,0.9687293061514642,1.0656022367666107,19.2748508220302,20.768473948460482,20.768473948460496,19.2748508220302,20.768473948460482,20.768473948460496,20.76847394846049,-1.4936231264302897,1.0,1.4210854715202004e-14,20.19072855642663
1.15,0.9544812172391356,1.097653399825006,18.91975369595344,21.081532461921448,21.08153246192146,18.91975369595344,21.081532461921448,21.08153246192146,21.081532461921455,-2.161778765968016,1.0,1.0658141036401503e-14,20.19072855642663
1.2,0.9410360288810286,1.129243234657234,18.620198960535483,21.406895403608704,21.406895403608708,18.620198960535483,21.406895403608704,21.406895403608708,21.406895403608708,-2.7866964430732253,1.0,3.552713678800501e-15,20.19072855642663
1.25,0.9283177667225558,1.1603972084031948,18.368543801163305,21.742357968723798,21.7423579687238,18.368543801163305,21.742357968723798,21.7423579687238,21.7423579687238,-3.3738141675604965,1.0,3.552713678800501e-15,20.19072855642663
1.2999999999999998,0.916260327074179,1.1911384251964325,18.15842576234407,22.086110331628404,22.086110331628415,18.15842576234407,22.086110331628404,22.086110331628415,22.08611033162841,-3.9276845692843416,1.0,1.0658141036401503e-14,20.19072855642663
1.3499999999999999,0.9048058721983022,1.221487927467708,17.984510143299687,22.43665750006826,22.436657500068264,17.984510143299687,22.43665750006826,22.436657500068264,22.436657500068264,-4.452147356768577,1.0,3.552713678800501e-15,20.19072855642663
1.4,0.8939035350965677,1.2514649491351946,17.8422943341049,22.792757501948888,22.792757501948895,17.8422943341049,22.792757501948888,22.792757501948895,22.79275750194889,-4.950463167843992,1.0,7.105427357601002e-15,20.19072855642663
