n,epsilon_exact,epsilon_pinn,relative_error,norm_integral,residual_mse,max_abs_overlap_with_lower_states,expected_internal_nodes,pinn_internal_nodes
1,9.869604401089,9.867525712995,2.106151381754e-04,1.000000000000,4.091851360313e+00,0.000000000000e+00,0,0
2,39.478417604357,39.469020885957,2.380216576759e-04,1.000000000000,2.092447442980e+01,3.633990383245e-14,1,1
3,88.826439609804,88.804927892619,2.421769608213e-04,0.999999999999,4.157456581374e+01,1.954886287788e-13,2,2
4,157.913670417430,157.876948933021,2.325415165869e-04,0.999999999999,7.151686612960e+01,3.163367541360e-13,3,3
5,246.740110027234,246.674410238510,2.662712143406e-04,0.999999999999,8.714403023125e+01,8.706047762512e-13,4,4
