eta,E12_uncoupled,E21_uncoupled,E2_ref,E3_ref,gap_ref,E2_pinn,E3_pinn,gap_pinn,err_E2_percent,err_E3_percent,M_cond,M_trace,score,energy_loss,corr_loss,ortho_loss,best_restart,runtime_s
0.82,68.582301611615,54.156591906988844,54.57408458293195,71.23752828442042,16.663443701488468,54.89678077572229,71.34670239660146,16.449921620879167,0.5912993232162471,0.15325364988121506,1.001217074293968,1.9391584409342424,126.40670337374435,126.24429261305926,2.98650199207973,1.212246299672009e-07,0,241.2589557170868
0.85,64.51101285002699,53.13876971659184,53.3132194482556,67.2537453675366,13.940525919280994,53.36783812060411,67.32339819536595,13.955560074761841,0.10244864765955869,0.1035672101958204,1.0008401747412576,1.9412014982344343,120.99911674127101,120.6906208324596,6.349087481399984,7.928847511374592e-09,1,227.03443098068237
0.8799999999999999,60.84896597696415,52.22325799832613,52.0884704961949,63.75989900431894,11.671428508124038,52.25989480417686,62.898796874048834,10.638902069871975,0.3291022108135827,1.3505387300123795,1.0153684002639225,1.9533971754039907,115.8846066447383,115.17332076636771,12.544612006323524,1.3161700013423514e-06,2,223.8865888118744
0.9099999999999999,57.543095047578234,51.396790265979654,50.85771862402612,60.72994302830415,9.872224404278029,50.79555887188616,60.07875473119569,9.28319585930953,0.12222284801936978,1.0722689082796688,1.0159305791358288,1.9554338251734682,111.57003247156555,110.87187692272062,13.22710862035633,1.4842223250984567e-07,2,239.70735478401184
0.94,54.548664614259835,50.648182657650054,49.574810613657384,58.15256502282046,8.577754409163077,49.817864749152086,58.53860732914397,8.720742579991885,0.4902774866632438,0.6638439872291413,1.0008907146614445,1.9397831623046082,108.42511900345575,108.35681244235587,2.5317799462996264,4.297740132095119e-08,0,292.8050649166107
0.97,51.827748310492524,49.96795358170822,48.199950480839576,56.018840751605126,7.81889027076555,48.48570755358531,56.501644910753235,8.015937357167928,0.5928576064809974,0.8618603181899577,1.0005027798733148,1.939306294988014,105.0057571075486,104.9873205427501,0.776084205904395,3.645212440096548e-08,1,264.5460150241852
1.0,49.34802200544679,49.34802200544679,46.71950179831314,54.300881700511916,7.581379902198776,46.89888911268388,54.69788439158055,7.798995278896669,0.38396666802046236,0.7311164729483445,1.0007913745971044,1.9400096940357474,101.68450765105179,101.59365675824873,3.533370859847319,6.802952862254385e-08,0,231.86205196380615
1.03,47.08179933403066,48.781466337592754,45.15775183390813,52.93883214709524,7.781080313187111,45.15399568629753,53.19480550881558,8.04080982251805,0.00831783571604119,0.48352665017069446,1.0007017584989373,1.9419700356073242,98.58763630436049,98.3492105661736,6.325306188872162,4.5033585126076574e-08,1,232.67918801307678
1.06,45.005255526362966,48.26233038567584,43.56306541328834,51.853718382047155,8.290652968758813,43.85216412010343,52.32741110995819,8.47524698985476,0.6636326072841133,0.913517376750051,1.0006412425677682,1.9393510510334617,96.20112579825654,96.17980144181728,0.9341359313490063,4.434592141942807e-08,0,157.026624917984
1.0899999999999999,43.09779866449937,47.785466170209936,41.98300338627057,50.971522699070405,8.988519312799838,42.26135093563276,51.41947489386763,9.158123958234867,0.6630005643026987,0.8788283556720075,1.000132079411806,1.9393858481210238,93.72012664875439,93.68089451424483,1.6674018811420424,2.305724358132639e-09,1,134.9757890701294
1.1199999999999999,41.34155721068553,47.34640580675647,40.4510980657509,50.23574976169585,9.784651695944952,40.651812912911424,50.32017818021079,9.668365267299365,0.49619134401314885,0.16806441411831927,1.00292846014837,1.941583447900951,91.1979001198011,90.98408560241268,6.633945523929666,6.283053866692533e-08,0,134.89716291427612
1.15,39.720959867522204,46.94125647096564,38.986444487852616,49.607295745934074,10.620851258081458,39.10170386837098,49.33984100719712,10.23813713882614,0.29563963072928984,0.5391439600068759,1.0113127838595557,1.9505226740263157,88.89542408789701,88.44181011933392,7.830393433263863,9.18797588902912e-09,2,830.847912311554
1.18,38.22238923616364,46.566613813126004,37.59785007343888,49.05985387045755,11.462003797018674,37.71787051347553,49.19416704652319,11.476296533047659,0.3192215507062817,0.2737741054433076,1.0026145056761713,1.9428537104152133,87.16313221584194,86.91632533258502,8.507817920756342,3.252885351863253e-08,1,156.10352182388306
