x,psi_pinn_n1,psi_exact_n1,psi_pinn_n2,psi_exact_n2,psi_pinn_n3,psi_exact_n3,psi_pinn_n4,psi_exact_n4,psi_pinn_n5,psi_exact_n5
0.000000000000,0.000000000000e+00,0.000000000000e+00,-0.000000000000e+00,0.000000000000e+00,-0.000000000000e+00,0.000000000000e+00,-0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
0.001430615165,6.206654651137e-03,6.356034307115e-03,1.208602141092e-02,1.271194022432e-02,1.815048477361e-02,1.906758936430e-02,2.455391905467e-02,2.542285334492e-02,3.052957947693e-02,3.177760379183e-02
0.002861230329,1.247457300717e-02,1.271194022432e-02,2.439137016204e-02,2.542285334492e-02,3.657463457131e-02,3.813171234106e-02,4.943037790074e-02,5.083749035798e-02,6.150018867413e-02,6.353916078986e-02
0.004291845494,1.879152841581e-02,1.906758936430e-02,3.687685815581e-02,3.813171234106e-02,5.522229720522e-02,5.718890317292e-02,7.455915785326e-02,7.623569736275e-02,9.281413135368e-02,9.526863230346e-02
0.005722460658,2.514631058855e-02,2.542285334492e-02,4.950613149970e-02,5.083749035798e-02,7.404675964619e-02,7.623569736275e-02,9.987486342564e-02,1.016092659927e-01,1.243799110080e-01,1.269499958443e-01
0.007153075823,3.152881861419e-02,3.177760379183e-02,6.224604056442e-02,6.353916078986e-02,9.300510884287e-02,9.526863230346e-02,1.253175659757e-01,1.269499958443e-01,1.561129040057e-01,1.585672532171e-01
0.008583690987,3.793012473613e-02,3.813171234106e-02,7.506685906896e-02,7.623569736275e-02,1.120584780264e-01,1.142842479075e-01,1.508331995087e-01,1.522496971267e-01,1.879358134771e-01,1.901044385986e-01
0.010014306152,4.434250820766e-02,4.448505064159e-02,8.794236954192e-02,8.892607421752e-02,1.311721828914e-01,1.332790872359e-01,1.763737323406e-01,1.775001933094e-01,2.197789135109e-01,2.215456265994e-01
0.011444921316,5.075945980118e-02,5.083749035798e-02,1.008498365881e-01,1.016092659927e-01,1.503157554633e-01,1.522496971267e-01,2.018971452769e-01,2.026933237639e-01,2.515800998715e-01,2.528749403063e-01
0.012875536481,5.717565865847e-02,5.718890317292e-02,1.137698908658e-01,1.142842479075e-01,1.694628858608e-01,1.711926288228e-01,2.273672501619e-01,2.278209464020e-01,2.832847679706e-01,2.840765592993e-01
0.014306151645,6.358692407790e-02,6.353916078986e-02,1.266863461321e-01,1.269499958443e-01,1.885912836561e-01,1.901044385986e-01,2.527533828985e-01,2.528749403063e-01,3.148455415252e-01,3.151347276406e-01
0.015736766810,6.999014551341e-02,6.988813493557e-02,1.395859697664e-01,1.396054864316e-01,2.076824712791e-01,2.089816883866e-01,2.780300031700e-01,2.778472083556e-01,3.462218765172e-01,3.460337618311e-01
0.017167381974,7.638319450648e-02,7.623569736275e-02,1.524582244073e-01,1.522496971267e-01,2.267215220691e-01,2.278209464020e-01,3.031762299201e-01,3.027296798413e-01,3.773795651193e-01,3.767580587299e-01
0.018597997139,8.276482250417e-02,8.258171985263e-02,1.652949952058e-01,1.648816062984e-01,2.456967553058e-01,2.466187877666e-01,3.281753378001e-01,3.275143130758e-01,4.082901634770e-01,4.072921034334e-01
0.020028612303,8.913454856175e-02,8.892607421752e-02,1.780903140613e-01,1.775001933094e-01,2.645993999834e-01,2.653717951318e-01,3.530142357629e-01,3.521930979916e-01,4.389303659236e-01,4.376204771101e-01
0.021459227468,9.549254082456e-02,9.526863230346e-02,1.908400892963e-01,1.901044385986e-01,2.834232383260e-01,2.840765592993e-01,3.776829450960e-01,3.767580587299e-01,4.692813465537e-01,4.677278647866e-01
0.022889842632,1.018394954650e-01,1.016092659927e-01,2.035418466791e-01,2.026933237639e-01,3.021642391565e-01,3.027296798413e-01,4.021740906231e-01,4.012012562186e-01,4.993280872487e-01,4.975990630810e-01
0.024320457797,1.081765164503e-01,1.079478472065e-01,2.161944855821e-01,2.152658316443e-01,3.208201902740e-01,3.213277657185e-01,4.264824156645e-01,4.255147907377e-01,5.290587093153e-01,5.272189878806e-01
0.025751072961,1.145049991613e-01,1.142842479075e-01,2.287980523763e-01,2.278209464020e-01,3.393903379961e-01,3.398674358967e-01,4.506043286452e-01,4.496908044726e-01,5.584638239399e-01,5.565726819586e-01
0.027181688126,1.208265204899e-01,1.206183401023e-01,2.413535318794e-01,2.403576536044e-01,3.578750410013e-01,3.583453199612e-01,4.745374869489e-01,4.737214840535e-01,5.875359146775e-01,5.856453225273e-01
0.028612303290,1.271427376335e-01,1.269499958443e-01,2.538626567562e-01,2.528749403063e-01,3.762754445707e-01,3.767580587299e-01,4.982804217022e-01,4.975990630810e-01,6.162687632132e-01,6.144222287230e-01
0.030042918455,1.334552973786e-01,1.332790872359e-01,2.663277341609e-01,2.653717951318e-01,3.945931802812e-01,3.951023048636e-01,5.218322055721e-01,5.213158246354e-01,6.446569276395e-01,6.428888690196e-01
0.031473533619,1.397657572456e-01,1.396054864316e-01,2.787514885519e-01,2.778472083556e-01,4.128300951637e-01,4.133747234748e-01,5.451921643260e-01,5.448641037713e-01,6.726952805015e-01,6.710308685666e-01
0.032904148784,1.460755194408e-01,1.459290656400e-01,2.911369194563e-01,2.903001719851e-01,4.309880132968e-01,4.315719927337e-01,5.683596317967e-01,5.682362899947e-01,7.003786118592e-01,6.988340164476e-01
0.034334763948,1.523857781534e-01,1.522496971267e-01,3.034871729561e-01,3.027296798413e-01,4.490685317956e-01,4.496908044726e-01,5.913337469686e-01,5.914248297223e-01,7.277013006406e-01,7.262842728570e-01
0.035765379113,1.586974803400e-01,1.585672532171e-01,3.158054257811e-01,3.151347276406e-01,4.670728521747e-01,4.677278647866e-01,6.141132911500e-01,6.144222287230e-01,7.546570556099e-01,7.533677761896e-01
0.037195994278,1.650112997674e-01,1.648816062984e-01,3.280947810733e-01,3.275143130758e-01,4.850016471399e-01,4.856798946329e-01,6.366965625830e-01,6.372210545400e-01,7.812387254014e-01,7.800708500397e-01
0.038626609442,1.713276237482e-01,1.711926288228e-01,3.403581751182e-01,3.398674358967e-01,5.028549620148e-01,5.035436304269e-01,6.590812853758e-01,6.598139388925e-01,8.074381752972e-01,8.063800101082e-01
0.040057224607,1.776465516992e-01,1.775001933094e-01,3.525982945810e-01,3.521930979916e-01,5.206321492486e-01,5.213158246354e-01,6.812645493079e-01,6.821935800575e-01,8.332462267992e-01,8.322819710111e-01
0.041487839771,1.839679044038e-01,1.838041723475e-01,3.648175040281e-01,3.644903034672e-01,5.383318337997e-01,5.389932463667e-01,7.032427768550e-01,7.043527452293e-01,8.586526546080e-01,8.577636529885e-01
0.042918454936,1.902912426481e-01,1.901044385986e-01,3.770177837277e-01,3.767580587299e-01,5.559519066581e-01,5.565726819586e-01,7.250117137100e-01,7.262842728570e-01,8.836462344022e-01,8.828121885097e-01
0.044349070100,1.966158937556e-01,1.964008647994e-01,3.892006779039e-01,3.889953725653e-01,5.734895433610e-01,5.740509355620e-01,7.465664391278e-01,7.479810749595e-01,9.082148338556e-01,9.074149287706e-01
0.045779685265,2.029409844457e-01,2.026933237639e-01,4.013672537435e-01,4.012012562186e-01,5.909412440756e-01,5.914248297223e-01,7.679013925858e-01,7.694361394157e-01,9.323455386501e-01,9.315594500811e-01
0.047210300429,2.092654784001e-01,2.089816883866e-01,4.135180715231e-01,4.133747234748e-01,6.083028916650e-01,6.086912059568e-01,7.890104135157e-01,7.906425322307e-01,9.560248048693e-01,9.552335601387e-01
0.048640915594,2.155882169291e-01,2.152658316443e-01,4.256531662234e-01,4.255147907377e-01,6.255698241080e-01,6.258469253292e-01,8.098867912002e-01,8.115933997775e-01,9.792386290805e-01,9.784253041857e-01
0.050071530758,2.219079611848e-01,2.215456265994e-01,4.377720409335e-01,4.376204771101e-01,6.427369177000e-01,6.428888690196e-01,8.305233223151e-01,8.322819710111e-01,1.001972727638e+00,1.001122971045e+00
0.051502145923,2.282234344588e-01,2.278209464020e-01,4.498736722113e-01,4.496908044726e-01,6.597986776020e-01,6.598139388925e-01,8.509123740008e-01,8.527015596574e-01,1.024212717244e+00,1.023315099035e+00
0.052932761087,2.345333632322e-01,2.340916642925e-01,4.619565273682e-01,4.617247975626e-01,6.767493325152e-01,6.766190580590e-01,8.710459507413e-01,8.728455663739e-01,1.045944289549e+00,1.044990481757e+00
0.054363376252,2.408365157927e-01,2.403576536044e-01,4.740185933998e-01,4.737214840535e-01,6.935829305165e-01,6.933011714367e-01,8.909157636771e-01,8.927074808825e-01,1.067153373533e+00,1.066138173754e+00
0.055793991416,2.471317374060e-01,2.466187877666e-01,4.860574169844e-01,4.856798946329e-01,7.102934333850e-01,7.098572463052e-01,9.105133012627e-01,9.122808840737e-01,1.087826280525e+00,1.086747496038e+00
0.057224606581,2.534179812065e-01,2.528749403063e-01,4.980701546595e-01,4.975990630810e-01,7.268748070666e-01,7.262842728570e-01,9.298299003859e-01,9.315594500811e-01,1.107949827934e+00,1.106808041482e+00
0.058655221745,2.596943341601e-01,2.591259848511e-01,5.100536319549e-01,5.094780263487e-01,7.433211062451e-01,7.425792647451e-01,9.488568171804e-01,9.505369483255e-01,1.127511439030e+00,1.126309680077e+00
0.060085836910,2.659600376352e-01,2.653717951318e-01,5.220044099511e-01,5.213158246354e-01,7.596265513215e-01,7.587392596255e-01,9.675852968015e-01,9.692072455292e-01,1.146499217375e+00,1.145242564045e+00
