eta_left,eta_right,i,j,O_ref,O_pinn
0.82,0.865,2,2,0.9936149097006262,0.12771690336303848
0.82,0.865,2,3,0.006380723726154009,0.3097888273887832
0.82,0.865,3,2,0.006380526882900523,0.025896051029800173
0.82,0.865,3,3,0.9936117328982793,0.007560480271698464
0.865,0.9099999999999999,2,2,0.9859592190776301,0.12014893922685399
0.865,0.9099999999999999,2,3,0.014036664519609566,0.12956317354041078
0.865,0.9099999999999999,3,2,0.014036280183642063,0.1667635621865676
0.865,0.9099999999999999,3,3,0.9859563886797311,0.5050279855001978
0.9099999999999999,0.955,2,2,0.9722833829808395,0.10382752016523038
0.9099999999999999,0.955,2,3,0.027712510871924168,0.44131378112895003
0.9099999999999999,0.955,3,2,0.027711831514959668,0.5315799109861521
0.9099999999999999,0.955,3,3,0.972281487579595,0.022902326580691006
0.955,1.0,2,2,0.9623130020983733,0.00890105866461803
0.955,1.0,2,3,0.03768256053097891,0.0034845344205515047
0.955,1.0,3,2,0.03768166723824849,0.0025051042929015513
0.955,1.0,3,3,0.9623126344787761,0.018439684119312672
1.0,1.045,2,2,0.9704559805442399,2.472061793599651e-06
1.0,1.045,2,3,0.02953900883931829,0.007131377655351359
1.0,1.045,3,2,0.029538242126115128,0.003020211933026644
1.0,1.045,3,3,0.9704572669629156,0.0008518312314387807
1.045,1.0899999999999999,2,2,0.9845624525599633,0.023854276137697698
1.045,1.0899999999999999,2,3,0.015432083098972826,0.0744498522005166
1.045,1.0899999999999999,3,2,0.015431603924656642,0.001594938302347934
1.045,1.0899999999999999,3,3,0.984564969399041,0.001073401416355324
1.0899999999999999,1.135,2,2,0.9929419667626148,0.14687194625312758
1.0899999999999999,1.135,2,3,0.007052405122130811,0.01805806503983809
1.0899999999999999,1.135,3,2,0.00705213769476429,0.00856181927651921
1.0899999999999999,1.135,3,3,0.9929451814634562,0.5780901819059443
1.135,1.18,2,2,0.9966986011745991,0.0698202593019364
1.135,1.18,2,3,0.0032958209289738654,0.15491189334618852
1.135,1.18,3,2,0.0032956711283763282,0.0737055526000348
1.135,1.18,3,3,0.9967021477769781,0.31416333836518956
