eta,E12_uncoupled,E21_uncoupled,E2_ref,E3_ref,gap_ref,E2_pinn,E3_pinn,gap_pinn,err_E2_percent,err_E3_percent,runtime_s
0.82,68.582301611615,54.156591906988844,54.83219181019334,71.53779448123137,16.70560267103803,0.0006292156051144619,0.000651054209087629,2.1838603973167096e-05,99.99885247044786,99.99908991573781,137.68150186538696
0.85,64.51101285002699,53.13876971659184,53.5687945655909,67.53376159367706,13.964967028086157,0.00022449121185979487,0.00025725818011405004,3.2766968254255166e-05,99.99958092913295,99.99961906730198,137.969624042511
0.8799999999999999,60.84896597696415,52.22325799832613,52.34224255907469,64.02124109826957,11.678998539194879,0.00017140963236538334,0.00018011859574985917,8.70896338447583e-06,99.99967252142059,99.99971865806933,138.34521865844727
0.9099999999999999,57.543095047578234,51.396790265979654,51.110096840080466,60.974207165655265,9.8641103255748,0.0003925873880445632,0.0005150821947104498,0.00012249480666588666,99.99923187899786,99.99915524576923,142.33618187904358
0.94,54.548664614259835,50.648182657650054,49.825502427865175,58.38179666678371,8.556294238918532,0.0002041381398697664,0.0002775410143430617,7.340287447329529e-05,99.99959029386575,99.9995246103577,139.78349709510803
0.97,51.827748310492524,49.96795358170822,48.44756755368853,56.235967122085036,7.788399568396507,0.0002371436469914863,0.0002830507490366642,4.5907102045177897e-05,99.99951051485355,99.99949667310172,138.8941090106964
1.0,49.34802200544679,49.34802200544679,46.96174415353217,54.50955926049497,7.547815106962794,0.00036626171434235875,0.00042431821961278854,5.8056505270429786e-05,99.9992200849416,99.9992215709953,139.06367802619934
1.03,47.08179933403066,48.781466337592754,45.392399021080294,53.14248162898303,7.750082607902733,0.00027319313194794874,0.000368690423154252,9.549729120630326e-05,99.99939815225052,99.99930622279605,142.54700803756714
1.06,45.005255526362966,48.26233038567584,43.788838221006976,52.05468488107981,8.265846660072832,0.00017528253851008916,0.00021631606665786218,4.103352814777302e-05,99.99959970954785,99.99958444457563,139.3170518875122
1.0899999999999999,43.09779866449937,47.785466170209936,42.19960310996374,51.17105466186315,8.971451551899413,0.00026693224418349834,0.00036900788858203675,0.00010207564439853841,99.99936745318793,99.9992788737871,128.3281409740448
1.1199999999999999,41.34155721068553,47.34640580675647,40.6588207632793,50.43440009310862,9.77557932982932,0.00017757676880842145,0.0002360809844328733,5.8504215624451854e-05,99.99956325155163,99.99953190484273,144.36650705337524
1.15,39.720959867522204,46.94125647096564,39.18584227848477,49.80527349988947,10.619431221404703,0.00021177626387907945,0.00026954128922263774,5.776502534355829e-05,99.99945955923985,99.99945880973986,132.8221950531006
1.18,38.22238923616364,46.566613813126004,37.78954446672274,49.2572219548579,11.467677488135159,0.0005770492416120132,0.0007265528908802084,0.00014950364926819514,99.99847299233225,99.99852498199847,142.75524282455444
