,PINN_1,PINN_2,PINN_3
"$\psi_{0,1}$",0.9999999747269986,1.4654851171612866e-07,1.2308947495979998e-07
"$\psi_{1,1}^c$",-5.5312227314270884e-08,-0.39338458132451487,0.9193739759311903
"$\psi_{1,1}^s$",-1.863637007790866e-07,0.9193739805934972,0.3933845822718869
