seed_id,seed,training_seed,epsilon_doublet_1,epsilon_doublet_2,mean_doublet_subspace_weight,min_doublet_subspace_weight,singular_value_1,singular_value_2,max_principal_angle_deg,basis_angle_mode1_rad_mod_pi,basis_angle_mode1_deg_mod_180
0,1000,1000000,49.808487,50.02156,0.9986574551189636,0.99809322411799,0.9996111246343157,0.9990457996234436,2.5031793172312065,1.5796530776611613,90.5074544448358
1,1001,1001000,50.098816,50.415596,0.9974840527138156,0.9970667033086613,0.9989573477190618,0.998525073729112,3.112262211476281,2.5261815612723577,144.73954174467508
2,1002,1002000,49.817516,50.13894,0.99843106752407,0.998098184430205,0.9993825532795023,0.9990478703489052,2.5004613157509703,2.466956303212455,141.34618441726948
3,1003,1003000,50.011436,50.375328,0.997917144007717,0.9970451248442949,0.9994236792169996,0.9984921619300725,3.1468030896762818,2.435055491262688,139.51840252950734
4,1004,1004000,49.647594,50.123737,0.9987084163085392,0.997812025256424,0.9998023917439983,0.9989054059719863,2.68104306519737,0.030502346954832435,1.7476557457556172
5,1005,1005000,49.900536,50.35775,0.9980417990035854,0.9971796149996388,0.9994611813271954,0.9985794635517085,3.0543249882130934,1.679105358916847,96.20565042373462
6,1006,1006000,49.95758,50.263565,0.997956463577987,0.9974084203506983,0.9992535584573042,0.9987017838506093,2.9198337827754384,2.2594362377267805,129.45616050066187
7,1007,1007000,49.72858,50.398594,0.9977886363574129,0.9960197122428838,0.9997928460482183,0.9979937563460153,3.629962206217832,0.2713118422258334,15.545023491459528
8,1008,1008000,49.823826,50.222954,0.9985475150139274,0.9977790065853824,0.999685190904604,0.9988616266099527,2.734142877396584,2.0435418830723853,117.08632515826444
9,1009,1009000,49.834904,50.30815,0.9983847841877048,0.9977520452814854,0.9995327071686514,0.9988513080912078,2.7465087852290635,0.06950643662433409,3.982425467567876
10,1010,1010000,49.955956,50.346714,0.9974615364757821,0.99645240080781,0.9992476609379324,0.9982119940481756,3.426784877009372,2.9120867664253067,166.85028129206924
11,1011,1011000,49.75745,50.214226,0.9984273990104531,0.997692219141908,0.9995842693750459,0.9988423731694915,2.75717179417499,2.7962791425929794,160.21499321103823
12,1012,1012000,50.024124,50.20732,0.9977114209069868,0.9974762259149657,0.9989784679725205,0.9987316267853188,2.8860714318633516,2.0626878185396342,118.18330645536764
13,1013,1013000,49.815857,50.195763,0.9982176417409723,0.9977263619083176,0.9993546118157183,0.9988621743386822,2.7334849065664137,2.0261058936526104,116.08731655287659
14,1014,1014000,49.763203,50.25538,0.9984239288248529,0.9974595489803457,0.999706287719152,0.9987167746385849,2.9029232238219356,2.925047895637677,167.5928992936618
15,1015,1015000,49.829803,50.459576,0.9976588929746057,0.99631352824602,0.9995048345893607,0.9981522286613933,3.483602865780539,1.901632392511521,108.95551027627533
16,1016,1016000,49.875263,50.464035,0.997838274126917,0.9969392536052135,0.9993742826742953,0.9984626139135463,3.1774941448318548,1.9438112349382861,111.3721799320763
17,1017,1017000,49.90964,50.399883,0.9974779789817596,0.9965763190661114,0.9992337061886949,0.9982424346720211,3.39748069298321,2.6064996895436945,149.34143151301305
18,1018,1018000,50.130985,50.215717,0.9976232437668089,0.9974554533042159,0.9989058090677972,0.9987160117592124,2.903786176373761,2.644523216187082,151.5200191118824
19,1019,1019000,49.978046,50.239185,0.9979853749150367,0.9974385347397616,0.9992878260243946,0.9986964456678078,2.925832012564221,2.0589673445848375,117.97013899996945
20,1020,1020000,49.846973,50.135773,0.9984303790547164,0.9980712321951275,0.999395409253266,0.9990343207682757,2.5181931094075125,2.8019646843857506,160.54075076000927
21,1021,1021000,49.75368,50.211594,0.9984558179301511,0.9979525843141985,0.9995450693001563,0.9989100511547814,2.6753471433129605,2.9065919221765686,166.5354499075348
22,1022,1022000,50.139793,50.25423,0.9975936948390114,0.9973882118138278,0.9989124674245282,0.9986797645400969,2.9444970213178117,2.2798379431632494,130.62509211704065
23,1023,1023000,50.11743,50.407505,0.9972932549884774,0.9968529002660773,0.9988662062056877,0.9984251659875224,3.2159703405701663,2.327777605159587,133.3718324207145
24,1024,1024000,50.128593,50.352917,0.9975415365103104,0.9972408227824907,0.9989241147731804,0.9986158850855711,3.0149062350868485,1.9188744301908682,109.94340626550746
25,1025,1025000,49.64069,50.40824,0.9983268968212666,0.9972443057792653,0.9997070500790596,0.9986188500447796,3.0116745932734528,2.1604710588933114,123.78587343474666
26,1026,1026000,49.650295,50.089222,0.9987549950046746,0.9978407048767197,0.999840058363992,0.9989143345152467,2.670084127794133,1.740401943037247,99.71768599240217
27,1027,1027000,50.07011,50.17672,0.9979393732705706,0.9979240619294671,0.9989842064365455,0.9989541039664868,2.6207147180685513,2.3979308870429286,137.39131939162155
28,1028,1028000,49.7347,50.25776,0.9984066684375827,0.9975862408576264,0.9996139146776843,0.9987919495359986,2.8165917247324757,2.807171620385847,160.8390862170095
29,1029,1029000,49.792175,50.265747,0.9982379570841915,0.9973670898704157,0.9995835133439986,0.9986534504117287,2.973702727961874,1.8818758806344293,107.82354552781788
30,1030,1030000,49.787132,50.128273,0.9985764557193153,0.997919318893771,0.9996200583702064,0.998955779973556,2.618613714414822,0.051098153788724954,2.927708553004357
31,1031,1031000,49.79209,50.349525,0.9980555149031156,0.9968775313031708,0.999649978523866,0.9984042018358424,3.2373106915650314,2.8931078661042884,165.7628704038754
32,1032,1032000,50.1488,50.336758,0.9970463211306679,0.9967500439245214,0.9986952359298651,0.9983488708824821,3.292971126971523,2.5579814396596876,146.56154056529834
33,1033,1033000,50.03548,50.31502,0.997763069545055,0.9973832563915614,0.9990722496701495,0.9986895308498714,2.9335836057636073,2.1155875757441764,121.21423928045468
34,1034,1034000,50.03477,50.36181,0.997654040641097,0.9973230605412802,0.9989964051401753,0.998656229039403,2.9706323125962792,2.8509050494375554,163.34482712530723
35,1035,1035000,49.845722,50.166565,0.9981740634837939,0.9975917428832313,0.9993983790841707,0.998774752810422,2.8365721911097763,2.0121740499463154,115.28908070766998
36,1036,1036000,49.978252,50.06007,0.9981840528986332,0.9978949890341404,0.9992416468307322,0.998941558368793,2.636388452049328,2.1275803150775268,121.9013726290562
37,1037,1037000,50.08434,50.493008,0.9975136861873859,0.9965588800973503,0.9992417615071407,0.9982701410113788,3.37058750953989,3.1212786567829545,178.8360937179259
38,1038,1038000,50.048607,50.30387,0.9976595357435141,0.9972290999016629,0.9990611485084844,0.9985969622565133,3.0354501013793524,2.617378288589172,149.96472932533396
39,1039,1039000,49.949455,50.24193,0.9980185916052768,0.9976949064657958,0.9991754393557556,0.998842141981798,2.757447148631708,2.233878704964714,127.99182173862813
40,1040,1040000,50.001682,50.129482,0.9979781620831059,0.9978922293957488,0.9991978076462475,0.998779287611204,2.831316991484211,2.4220519511776897,138.77335456390773
41,1041,1041000,49.689487,50.25948,0.9984800734208968,0.9973736967718028,0.9998058794787306,0.9986732950277363,2.9517042144673695,2.921632690387677,167.39722244666586
42,1042,1042000,50.033066,50.399193,0.9976739857689587,0.9972986666856976,0.9990242372012172,0.9986483590445855,2.979320543290831,2.1227015368228215,121.62183922588137
43,1043,1043000,49.65951,50.09921,0.9987982926016676,0.9980388841870438,0.9997886189924917,0.999009160386641,2.5507927681138276,1.6947798199138615,97.10373088500597
44,1044,1044000,49.71808,50.299774,0.9985593857277344,0.9976834558718117,0.9997412989603219,0.9988173539784924,2.7868130045092476,2.663269013757229,152.5940741962584
45,1045,1045000,49.83157,50.180973,0.9985816126617735,0.9979636040342541,0.9996178513347703,0.9989631507800496,2.60935377678951,2.8104533505144507,161.02711550287944
46,1046,1046000,50.01416,50.40137,0.9977145491350345,0.9973719539462884,0.9990324261074262,0.9986807847635697,2.9433588581964947,2.295313738622707,131.5117898814753
47,1047,1047000,49.920284,50.169754,0.9982280602206144,0.9977599856225448,0.9993614010452221,0.9988658120799608,2.7291109698668086,1.981436082418611,113.52792489752235
48,1048,1048000,49.879993,50.426434,0.9977408954934184,0.9966691273854043,0.9994076225880297,0.9983317058471993,3.310048369345352,0.02872888854092314,1.6460440634966496
49,1049,1049000,49.89193,50.29925,0.9974850409604912,0.9961562161175621,0.9994167518644811,0.9980662493109524,3.5637553358353844,2.2621872488480133,129.61378182730206
