eta,a,b,E_even_PINN,E_x_PINN,E_y_PINN,E_lower_m1_PINN,E_upper_m1_PINN,Delta_m1_PINN,E1_FD,E2_FD,E3_FD,Delta_m1_FD,branch_lower,branch_upper,res_even,res_x,res_y
0.8,1.0,0.8,7.423275450009599,16.783113473168473,20.912472048665528,16.783113473168473,20.912472048665528,4.129358575497054,7.312204995353104,16.512140678784984,20.58193723024542,4.069796551460435,x,y,67.83799908207848,133.42360261552417,120.33379416757968
0.9,1.0,0.9,6.473730441647998,15.60882361485919,17.321640358357364,15.60882361485919,17.321640358357364,1.7128167434981734,6.384159461538087,15.349390473224357,17.053649168321485,1.7042586950971277,x,y,45.71631979009544,91.72289777585466,80.28720525009832
1.0,1.0,1.0,5.809373720773748,14.754631268853375,14.741368200996225,14.741368200996225,14.754631268853375,0.01326306785714948,5.717858858393053,14.512857825780033,14.512857825785458,5.424993787528365e-12,y,x,40.819136805152006,84.93643446478481,52.98386958603398
1.1,1.0,1.1,5.293297027392385,14.090942793360748,12.843985001757057,12.843985001757057,14.090942793360748,1.2469577916036911,5.220291793443927,12.619688238710678,13.876875775220014,1.2571875365093366,y,x,30.663778006265638,74.66056131771458,57.34978045844433
1.2,1.0,1.2,4.904460586102225,13.605651350704857,11.358568396419603,11.358568396419603,13.605651350704857,2.247082954285254,4.839580611690569,11.17185921023334,13.384233958728329,2.212374748494989,y,x,26.456617567399256,69.92591436490588,30.29152244029853
