eta_left,eta_right,i,j,O_ref,O_pinn
0.82,0.865,2,2,0.9934297846630427,0.891893865166874
0.82,0.865,2,3,0.006565535448468996,0.03126909135370259
0.82,0.865,3,2,0.0065653189347477,0.021638761772473643
0.82,0.865,3,3,0.9934264618956585,0.020255703937235612
0.865,0.9099999999999999,2,2,0.985874006198239,0.7836043404848451
0.865,0.9099999999999999,2,3,0.014121572538257687,0.15834407555329913
0.865,0.9099999999999999,3,2,0.014121156980421748,0.00021919277059746943
0.865,0.9099999999999999,3,3,0.9858710691187098,0.06346315211342533
0.9099999999999999,0.955,2,2,0.9730000351284045,0.001640167299038801
0.9099999999999999,0.955,2,3,0.026995547697703282,0.8265472719659619
0.9099999999999999,0.955,3,2,0.02699483091264063,0.924063609290725
0.9099999999999999,0.955,3,3,0.9729980961190788,0.0010660979485179341
0.955,1.0,2,2,0.9642707351116786,0.11459847586495044
0.955,1.0,2,3,0.035724501746734874,0.02566411099090576
0.955,1.0,3,2,0.03572357837202966,0.2138655335122274
0.955,1.0,3,3,0.9642703897174957,0.534314807400689
1.0,1.045,2,2,0.9720283850932993,0.6457261324174541
1.0,1.045,2,3,0.027966269683843154,0.061372129531206326
1.0,1.045,3,2,0.027965478026759166,0.0823296444356268
1.0,1.045,3,3,0.9720297485391151,0.8000080091703262
1.045,1.0899999999999999,2,2,0.9850966828377876,0.11974522273083799
1.045,1.0899999999999999,2,3,0.014897513613928432,0.08034157573154047
1.045,1.0899999999999999,3,2,0.01489701159958548,0.00017886723007286048
1.045,1.0899999999999999,3,3,0.9850993242131934,0.7503424652486795
1.0899999999999999,1.135,2,2,0.9930354288670772,0.04756968255308429
1.0899999999999999,1.135,2,3,0.006958600750413774,0.00213881762910837
1.0899999999999999,1.135,3,2,0.006958315954913169,0.361599481667235
1.0899999999999999,1.135,3,3,0.9930388069892476,0.06846427094513957
1.135,1.18,2,2,0.9966874374999668,0.00348150735464684
1.135,1.18,2,3,0.003306644307599794,0.30888721263169283
1.135,1.18,3,2,0.0033064827895923922,0.03851846132550167
1.135,1.18,3,3,0.9966911737687159,0.1272546933804897
