eta_Ly_over_Lx,epsilon_1_2,epsilon_2_1,splitting
0.650000,103.309646068208,62.838428021137,40.471218047071
0.655000,101.888525453143,62.483147867371,39.405377585772
0.660000,100.499580535978,62.135911638080,38.363668897898
0.665000,99.141847273739,61.796478322520,37.345368951219
0.670000,97.814397460473,61.464615869203,36.349781591270
0.675000,96.516337140420,61.140100789190,35.376236351230
0.680000,95.246805102554,60.822717779724,34.424087322831
0.685000,94.004971451774,60.512259367029,33.492712084745
0.690000,92.790036252292,60.208525567158,32.581510685134
0.695000,91.601228239105,59.911323563861,31.689904675244
0.700000,90.437803593656,59.620467402499,30.817336191157
0.705000,89.299044780059,59.335777699100,29.963267080959
0.710000,88.184259438498,59.057081363709,29.127178074788
0.715000,87.092779332592,58.784211337233,28.308567995359
0.720000,86.023959347766,58.517006341027,27.506953006740
0.725000,84.977176537798,58.255310638535,26.721865899263
0.730000,83.951829216922,57.998973808316,25.952855408607
0.735000,82.947336095027,57.747850527842,25.199485567185
0.740000,81.963135453605,57.501800367486,24.461335086118
0.745000,80.998684360294,57.260687594159,23.737996766135
0.750000,80.053457919947,57.024380984072,23.029076935875
0.755000,79.126948560306,56.792753644162,22.334194916144
0.760000,78.218665350462,56.565682841701,21.652982508761
0.765000,77.328133350395,56.343049841684,20.985083508711
0.770000,76.454892989987,56.124739751582,20.330153238405
0.775000,75.598499475982,55.910641373081,19.687858102901
0.780000,74.758522225477,55.700647060454,19.057875165023
0.785000,73.934544324587,55.494652585232,18.439891739355
0.790000,73.126162011020,55.292557006840,17.833605004180
0.795000,72.332984179354,55.094262548923,17.238721630430
0.800000,71.554631907898,54.899674481060,16.654957426838
0.805000,70.790738006054,54.708701005599,16.082037000456
0.810000,70.040946581180,54.521253149380,15.519693431800
0.815000,69.304912623992,54.337244660083,14.967667963909
0.820000,68.582301611615,54.156591906989,14.425709704626
0.825000,67.872789127418,53.979213785940,13.893575341478
0.830000,67.176060496832,53.805031628293,13.371028868539
0.835000,66.491810438391,53.633969113683,12.857841324708
0.840000,65.819742729260,53.465952186400,12.353790542860
0.845000,65.159569884591,53.300908975233,11.858660909358
0.850000,64.511012850027,53.138769716592,11.372243133435
0.855000,63.873800706766,52.979466680777,10.894334025990
0.860000,63.247670388593,52.822934101233,10.424736287359
0.865000,62.632366410321,52.669108106665,9.963258303656
0.870000,62.027640607137,52.517926655869,9.509713951268
0.875000,61.433251884332,52.369329475168,9.063922409164
0.880000,60.848965976964,52.223257998326,8.625707978638
0.885000,60.274555218999,52.079655308835,8.194899910164
0.890000,59.709798321500,51.938466084460,7.771332237040
0.895000,59.154480159471,51.799636543953,7.354843615518
0.900000,58.608391566963,51.663114395826,6.945277171137
0.905000,58.071329140087,51.528848789107,6.542480350980
0.910000,57.543095047578,51.396790265980,6.146304781599
0.915000,57.023496848588,51.266890716232,5.756606132356
0.920000,56.512347317391,51.139103333433,5.373243983958
0.925000,56.009464274699,51.013382572760,4.996081701939
0.930000,55.514670425320,50.889684110415,4.624986314905
0.935000,55.027793201864,50.767964804551,4.259828397313
0.940000,54.548664614260,50.648182657650,3.900481956610
0.945000,54.077121104829,50.530296780292,3.546824324537
0.950000,53.613003408688,50.414267356257,3.198736052431
0.955000,53.156156419244,50.300055608896,2.856100810348
0.960000,52.706429058595,50.187623768734,2.518805289861
0.965000,52.263674152607,50.076935042237,2.186739110370
0.970000,51.827748310493,49.967953581708,1.859794728784
0.975000,51.398511808697,49.860644456259,1.537867352438
0.980000,50.975828478929,49.754973623817,1.220854855112
0.985000,50.559565600149,49.650907904122,0.908657696026
0.990000,50.149593794373,49.548414952678,0.601178841695
0.995000,49.745786926134,49.447463235619,0.298323690515
1.000000,49.348022005447,49.348022005447,0.000000000000
1.005000,48.956179094149,49.250061277622,0.293882183473
1.010000,48.570141215478,49.153551807954,0.583410592477
1.015000,48.189794266757,49.058465070774,0.868670804017
1.020000,47.815026935074,48.964773237854,1.149746302780
1.025000,47.445730615826,48.872449158042,1.426718542216
1.030000,47.081799334031,48.781466337593,1.699667003562
1.035000,46.723129668290,48.691798921158,1.968669252867
1.040000,46.369620677307,48.603421673412,2.233800996105
1.045000,46.021173828857,48.516309961299,2.495136132443
1.050000,45.677692931119,48.430439736865,2.752746805746
1.055000,45.339084066288,48.345787520657,3.006703454369
1.060000,45.005255526363,48.262330385676,3.257074859313
1.065000,44.676117751049,48.180045941847,3.503928190799
1.070000,44.351583267678,48.098912321005,3.747329053327
1.075000,44.031566633091,48.018908162358,3.987341529267
1.080000,43.715984377390,47.940012598433,4.224028221042
1.085000,43.404754949504,47.862205241461,4.457450291957
1.090000,43.097798664499,47.785466170210,4.687667505711
1.095000,42.795037652571,47.709775917228,4.914738264657
