eta_left,eta_right,i,j,O_ref,O_pinn
0.82,0.865,2,2,0.9934297846630427,0.17285631966113557
0.82,0.865,2,3,0.006565535448468996,0.0026871177861714206
0.82,0.865,3,2,0.0065653189347477,0.10681391328649377
0.82,0.865,3,3,0.9934264618956585,0.0362088717070639
0.865,0.9099999999999999,2,2,0.985874006198239,0.40428450213610195
0.865,0.9099999999999999,2,3,0.014121572538257687,0.01786908728954684
0.865,0.9099999999999999,3,2,0.014121156980421748,0.0019701547337986854
0.865,0.9099999999999999,3,3,0.9858710691187098,0.14888696390835823
0.9099999999999999,0.955,2,2,0.9730000351284045,0.2846705469818541
0.9099999999999999,0.955,2,3,0.026995547697703282,0.08975006865162055
0.9099999999999999,0.955,3,2,0.02699483091264063,0.13729709095976966
0.9099999999999999,0.955,3,3,0.9729980961190788,0.2832101433017298
0.955,1.0,2,2,0.9642707351116786,0.005029462308241202
0.955,1.0,2,3,0.035724501746734874,0.1303490513876126
0.955,1.0,3,2,0.03572357837202966,0.16910289821945987
0.955,1.0,3,3,0.9642703897174957,0.052872878051024086
1.0,1.045,2,2,0.9720283850932993,0.08840742210721265
1.0,1.045,2,3,0.027966269683843154,0.007904153767388827
1.0,1.045,3,2,0.027965478026759166,0.00017603043902752636
1.0,1.045,3,3,0.9720297485391151,0.010576660423179453
1.045,1.0899999999999999,2,2,0.9850966828377876,0.006473375576253519
1.045,1.0899999999999999,2,3,0.014897513613928432,0.02798313873217127
1.045,1.0899999999999999,3,2,0.01489701159958548,0.004911096645863268
1.045,1.0899999999999999,3,3,0.9850993242131934,0.0002782262711904329
1.0899999999999999,1.135,2,2,0.9930354288670772,0.011275058870883214
1.0899999999999999,1.135,2,3,0.006958600750413774,0.07913080381962408
1.0899999999999999,1.135,3,2,0.006958315954913169,7.239189324345088e-05
1.0899999999999999,1.135,3,3,0.9930388069892476,0.02906468347652723
1.135,1.18,2,2,0.9966874374999668,0.008284091101371198
1.135,1.18,2,3,0.003306644307599794,0.03592059818096051
1.135,1.18,3,2,0.0033064827895923922,0.17800859337692113
1.135,1.18,3,3,0.9966911737687159,0.07755547613896945
