state_index,exact_label,nx_ref,ny_ref,epsilon_exact_ranked,epsilon_pinn,relative_error_percent_vs_ranked,degenerate_weight_12_21,best_restart
1,psi_11,1,1,19.739208802178716,0.0008006047197288092,99.99594408910836,0.0010626167478717705,4
2,psi_12,1,2,49.34802200544679,0.0011378339728379122,99.99769426630166,0.20197173737977206,2
3,psi_21,2,1,49.34802200544679,0.0012674872133341558,99.99743153390587,0.20548465876291822,2
4,psi_22,2,2,78.95683520871486,0.0013776829006560123,99.99825514422278,0.017510170981266615,3
