eta,sector,energy_PINN,residual_mse,norm,best_restart
0.8,even,7.423275450009599,67.83799908207848,10.204935518518372,1
0.8,x,16.783113473168473,133.42360261552417,0.8795525591593334,1
0.8,y,20.912472048665528,120.33379416757968,0.6715370643544765,1
0.9,even,6.473730441647998,45.71631979009544,9.26879900262077,1
0.9,x,15.60882361485919,91.72289777585466,1.1660489927854731,1
0.9,y,17.321640358357364,80.28720525009832,1.4376587366598375,1
1.0,even,5.809373720773748,40.819136805152006,4.6463066947239735,2
1.0,x,14.754631268853375,84.93643446478481,0.8656034592247684,1
1.0,y,14.741368200996225,52.98386958603398,1.1691621592738342,1
1.1,even,5.293297027392385,30.663778006265638,10.366498686083766,2
1.1,x,14.090942793360748,74.66056131771458,0.46739803401432467,2
1.1,y,12.843985001757057,57.34978045844433,1.0772768712670906,2
1.2,even,4.904460586102225,26.456617567399256,10.013052215214469,2
1.2,x,13.605651350704857,69.92591436490588,1.3329051114152575,2
1.2,y,11.358568396419603,30.29152244029853,0.963397984693634,1
