eta,state,epsilon_PINN,epsilon_FD,rel_error_vs_FD_percent,m1_weight,overlap_m1_cos,overlap_m1_sin
0.8,1,17.92247886153535,7.312204995353104,145.1036161175057,0.8064383151529467,0.8974275881774256,-0.03258894185142733
0.8,2,19.4813945513011,16.512140678784984,17.98224670124724,0.19953074984702393,-0.43725810441406,-0.09130224515994624
0.8,3,452.84256533727273,20.58193723024542,2100.1940841205887,0.6027139586210692,0.015327677579931465,-0.7761952208826558
0.9,1,10.644530563140606,6.384159461538087,66.73346941393754,0.081649510352631,-0.2787789545260623,-0.0627041056549466
0.9,2,18.923982654798465,15.349390473224357,23.288170222848034,0.9150173406184523,0.9561697540489766,0.027508945097401188
0.9,3,86.19619841369763,17.053649168321485,405.4413724765369,0.5913394087098588,0.030086911244471798,-0.7683971541342576
1.0,1,9.886817973920293,5.717858858393053,72.91119313670649,0.1289206269659113,0.3475049357867473,-0.09033795752484083
1.0,2,15.813355726353826,14.512857825780033,8.961004897764818,0.9890099210851365,0.004357544204221797,-0.994480232530363
1.0,3,274.6042834044172,14.512857825785458,1792.1447911969412,0.6825521919498411,-0.825479317369278,-0.03370591261769709
1.1,1,8.234774366966855,5.220291793443927,57.745480383084406,0.020292321726999418,0.11099607810647197,0.08928713441465905
1.1,2,39.371089304452696,12.619688238710678,211.98147339078116,0.8398555565546322,-0.08581827720054966,0.9124093269212902
1.1,3,297.7738266612893,13.876875775220014,2045.8275730407927,0.6146979199253148,0.7831140548316442,0.03781926824325458
1.2,1,8.034669296546655,4.839580611690569,66.01994968609424,0.1716110436922232,0.08660231580991773,-0.40510626086075546
1.2,2,16.52379245468854,11.17185921023334,47.90548416106846,0.8395003541124294,0.14244280768059334,0.9051024255035995
1.2,3,132.18019972300596,13.384233958728329,887.5813597595296,0.3216481355541222,0.559185262510749,-0.09465715897335478
